abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite,chebi_accession,SOURCE,name,definition,InChI
1430,urate,69-93-2,17775.0,"Human Metabolome Database (HMDB): Uric acid is a heterocyclic purine derivative that is the final oxidation product of purine metabolism. It is produced by the enzyme xanthine oxidase, which oxidizes oxypurines such as xanthine into uric acid. In most mammals, except humans and higher primates, the enzyme uricase further oxidizes uric acid to allantoin. Uric acid is also the end product of nitrogen metabolism in birds and reptiles. In such species, it is excreted in feces as a dry mass. Humans produce only small quantities of uric acid with excess accumulation leading to a type of arthritis known as gout. The loss of uricase in higher primates parallels the similar loss of the ability to synthesize ascorbic acid vitamin C. This may be because in higher primates uric acid partially replaces ascorbic acid. Uric acid is found to be associated with Lesch-Nyhan syndrome and xanthinuria type I, which are inborn errors of metabolism.",Uric acid,HMDB0000289,b,b,C00366,URATE,FDB015350,urate,[H]N1C(=O)N([H])C2=C1N([H])C(=O)N([H])C2=O,LEHOTFFKMJEONL-UHFFFAOYSA-N,"InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)",CHEBI:17775,ChEBI,"7,9-dihydro-1H-purine-2,6,8(3H)-trione","An oxopurine in which the purine ring is substituted by oxo groups at positions 2, 6, and 8.","InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)"
1431,urcan,104-98-3,30817.0,"Human Metabolome Database (HMDB): Urocanic acid is a breakdown (deamination) product of histidine. In the liver, urocanic acid is an intermediate in the conversion of histidine to glutamic acid, whereas in the epidermis, it accumulates and may be both a UV protectant and an immunoregulator. Urocanic acid (UA) exists as a trans isomer (t-UA, approximately 30 mg/cm2) in the uppermost layer of the skin (stratum corneum). t-UA is formed as the cells of the second layer of skin become metabolically inactive. During this process, proteins and membranes degrade, histidine is released, and histidase (histidine ammonia lyase) catalyzes the deamination of histidine to form t-UA. t-UA accumulates in the epidermis until removal by either the monthly skin renewal cycle or sweat. Upon absorption of UV light, the naturally occurring t-UA isomerizes to its cis form, c-UA. Because DNA lesions (e.g., pyrimidine dimers) in the lower epidermis can result from UV-B absorption, initial research proposed that t-UA acted as a natural sunscreen absorbing UV-B in the stratum corneum before the damaging rays could penetrate into lower epidermal zones. Researchers have found that c-UA also suppresses contact hypersensitivity and delayed hypersensitivity, reduces the Langerhans cell count in the epidermis, prolongs skin-graft survival time, and affects natural killer cell activity.",Urocanic acid,HMDB0000301,b,b,C00785,UROCANATE,FDB000921,urcan,[H]N1C([H])=NC(C([H])=C([H])C([O-])=O)=C1[H],LOIYMIARKYCTBW-UHFFFAOYSA-M,"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)/p-1",CHEBI:27247,Chemical Ontology,urocanate,An monocarboxylic acid anion that is the conjugate base of urocanic acid.,"InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)/p-1"
1432,urdgly,b,16282.0,b,Ureidoglycine,b,b,b,C02091,b,b,b,b,b,"InChI=1S/C3H7N3O3/c4-1(2(7)8)6-3(5)9/h1H,4H2,(H,7,8)(H3,5,6,9)",CHEBI:57714,Rhea,2-ureidoglycine zwitterion,The zwitterion resulting from the transfer of a proton from the carboxy group to the alpha-amino group of 2-ureidoglycine.,"InChI=1S/C3H7N3O3/c4-1(2(7)8)6-3(5)9/h1H,4H2,(H,7,8)(H3,5,6,9)"
1433,urdgly,b,16282.0,b,Ureidoglycine,b,b,b,C02091,b,b,b,b,b,"InChI=1S/C3H7N3O3/c4-1(2(7)8)6-3(5)9/h1H,4H2,(H,7,8)(H3,5,6,9)",CHEBI:16282,ChEBI,2-ureidoglycine,Allantoic acid in which one of the aminocarbonyl groups is replaced by hydrogen.,"InChI=1S/C3H7N3O3/c4-1(2(7)8)6-3(5)9/h1H,4H2,(H,7,8)(H3,5,6,9)"
1434,urea,57-13-6,16199.0,"Human Metabolome Database (HMDB): Urea is a highly soluble organic compound formed in the liver from ammonia produced by the deamination of amino acids. It is the principal end product of protein catabolism and constitutes about one half of the total urinary solids. Urea is formed in a cyclic pathway known simply as the urea cycle. In this cycle, amino groups donated by ammonia and L-aspartate are converted to urea. Urea is essentially a waste product; it has no physiological function. It is dissolved in blood (in humans in a concentration of 2.5 - 7.5 mmol/liter) and excreted by the kidney in the urine. In addition, a small amount of urea is excreted (along with sodium chloride and water) in human sweat. Urea is found to be associated with primary hypomagnesemia, which is an inborn error of metabolism.",Urea,HMDB0000294,b,b,C00086,UREA,FDB012174,urea,[H]N([H])C(=O)N([H])[H],XSQUKJJJFZCRTK-UHFFFAOYSA-N,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",CHEBI:48376,ChEBI,carbamimidic acid,y,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)"
1435,urea,57-13-6,16199.0,"Human Metabolome Database (HMDB): Urea is a highly soluble organic compound formed in the liver from ammonia produced by the deamination of amino acids. It is the principal end product of protein catabolism and constitutes about one half of the total urinary solids. Urea is formed in a cyclic pathway known simply as the urea cycle. In this cycle, amino groups donated by ammonia and L-aspartate are converted to urea. Urea is essentially a waste product; it has no physiological function. It is dissolved in blood (in humans in a concentration of 2.5 - 7.5 mmol/liter) and excreted by the kidney in the urine. In addition, a small amount of urea is excreted (along with sodium chloride and water) in human sweat. Urea is found to be associated with primary hypomagnesemia, which is an inborn error of metabolism.",Urea,HMDB0000294,b,b,C00086,UREA,FDB012174,urea,[H]N([H])C(=O)N([H])[H],XSQUKJJJFZCRTK-UHFFFAOYSA-N,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",CHEBI:16199,ChEBI,urea,A carbonyl group with two C-bound amine groups. The commercially available fertilizer has an analysis of 46-0-0 (N-P2O5-K2O).,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)"
1436,uri,58-96-8,16704.0,"Human Metabolome Database (HMDB): Uridine, also known as beta-uridine or 1-beta-D-ribofuranosylpyrimidine-2,4(1H,3H)-dione, is a member of the class of compounds known as pyrimidine nucleosides. Pyrimidine nucleosides are compounds comprising a pyrimidine base attached to a ribosyl or deoxyribosyl moiety. More specifically, uridine is a nucleoside consisting of uracil and D-ribose and a component of RNA. Uridine is soluble (in water) and a very weakly acidic compound (based on its pKa). Uridine can be synthesized from uracil. It is one of the five standard nucleosides which make up nucleic acids, the others being adenosine, thymidine, cytidine and guanosine. The five nucleosides are commonly abbreviated to their one-letter codes U, A, T, C and G respectively. Uridine is also a parent compound for other transformation products, including but not limited to, nikkomycin Z, 3'-(enolpyruvyl)uridine 5'-monophosphate, and 5-aminomethyl-2-thiouridine. Uridine can be found in most biofluids, including urine, breast milk, cerebrospinal fluid (CSF), and blood. Within the cell, uridine is primarily located in the mitochondria, in the nucleus and the lysosome. It can also be found in the extracellular space. As an essential nucleoside, uridine exists in all living species, ranging from bacteria to humans. In humans, uridine is involved in several metabolic disorders, some of which include dhydropyrimidinase deficiency,  MNGIE (mitochondrial neurogastrointestinal encephalopathy), and beta-ureidopropionase deficiency. Moreover, uridine is found to be associated with Lesch-Nyhan syndrome, which is an inborn error of metabolism. Uridine is a nucleoside consisting of uracil and D-ribose and a component of RNA. Uridine plays a role in the glycolysis pathway of galactose. In humans there is no catabolic process to metabolize galactose. Therefore, galactose is converted to glucose and metabolized via the normal glucose metabolism pathways. More specifically, consumed galactose is converted into galactose 1-phosphate (Gal-1-P). This molecule is a substrate for the enzyme galactose-1-phosphate uridyl transferase which transfers a UDP molecule to the galactose molecule. The end result is UDP-galactose and glucose-1-phosphate. This process is continued to allow the proper glycolysis of galactose. Uridine is found in many foods (anything containing RNA) but is destroyed in the liver and gastrointestinal tract, and so no food, when consumed, has ever been reliably shown to elevate blood uridine levels. On the other hand, consumption of RNA-rich foods may lead to high levels of purines (adenine and guanosine) in blood. High levels of purines are known to increase uric acid production and may aggravate or lead to conditions such as gout.",Uridine,HMDB0000296,b,b,C00299,URIDINE,FDB007411,uri,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=C([H])C(=O)N([H])C2=O)[C@]([H])(O[H])[C@]1([H])O[H],DRTQHJPVMGBUCF-XVFCMESISA-N,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1",CHEBI:16704,ChEBI,uridine,A ribonucleoside composed of a molecule of uracil attached to a ribofuranose moiety via a beta-N(1)-glycosidic bond.,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1"
1437,utp,63-39-8,15713.0,"Human Metabolome Database (HMDB): Uridine 5'-(tetrahydrogen triphosphate). A uracil nucleotide containing three phosphate groups esterified to the sugar moiety. Uridine triphosphate has the role of a source of energy or an activator of substrates in metabolic reactions, like that of adenosine triphosphate, but more specific. When Uridine triphosphate activates a substrate, UDP-substrate is usually formed and inorganic phosphate is released. (Wikipedia).",Uridine triphosphate,HMDB0000285,b,b,C00075,UTP,FDB021929,utp,[H]O[C@@]1([H])[C@@]([H])(O[C@]([H])(C([H])([H])OP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)[C@@]1([H])O[H])N1C([H])=C([H])C(=O)N([H])C1=O,PGAVKCOVUIYSFO-XVFCMESISA-J,"InChI=1S/C9H15N2O15P3/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H,10,12,15)(H2,16,17,18)/p-4/t4-,6-,7-,8-/m1/s1",CHEBI:46398,ChEBI,UTP(4-),A nucleoside triphosphate(4-) obtained by global deprotonation of the triphosphate OH groups of UTP; major species present at pH 7.3.,"InChI=1S/C9H15N2O15P3/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H,10,12,15)(H2,16,17,18)/p-4/t4-,6-,7-,8-/m1/s1"
1438,vacc,693-72-1,28727.0,"Human Metabolome Database (HMDB): Vaccenic acid is present in all tissues. Present in virtually all lipid classes at a low concentration, 18:1n7 is present at about 25% of the concentration of 18:1n9 in most phospholipids. A notable exception is the phospholipid cardiolipin, which often contains as much 18:1n7 as 18:1n9 (www.lipomics.com).",Vaccenic acid,HMDB0003231,b,b,C08367,b,FDB002952,vacc,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],UWHZIFQPPBDJPM-UHFFFAOYSA-N,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-8H,2-6,9-17H2,1H3,(H,19,20)",CHEBI:36023,ChEBI,vaccenic acid,An octadecenoic acid having a double bond at position 11; and which can occur in cis- or trans- configurations.,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h7-8H,2-6,9-17H2,1H3,(H,19,20)"
1439,val_L,72-18-4,16414.0,"Human Metabolome Database (HMDB): Valine (abbreviated as Val or V) is an -amino acid with the chemical formula HO2CCH(NH2)CH(CH3)2. It is named after the plant valerian. L-Valine is one of 20 proteinogenic amino acids. Its codons are GUU, GUC, GUA, and GUG. This essential amino acid is classified as nonpolar. Along with leucine and isoleucine, valine is a branched-chain amino acid. Branched chain amino acids (BCAA) are essential amino acids whose carbon structure is marked by a branch point. These three amino acids are critical to human life and are particularly involved in stress, energy and muscle metabolism. BCAA supplementation as therapy, both oral and intravenous, in human health and disease holds great promise. ""BCAA"" denotes valine, isoleucine and leucine which are branched chain essential amino acids. Despite their structural similarities, the branched amino acids have different metabolic routes, with valine going solely to carbohydrates, leucine solely to fats and isoleucine to both. The different metabolism accounts for different requirements for these essential amino acids in humans: 12 mg/kg, 14 mg/kg and 16 mg/kg of valine, leucine and isoleucine respectively. Furthermore, these amino acids have different deficiency symptoms. Valine deficiency is marked by neurological defects in the brain, while isoleucine deficiency is marked by muscle tremors. Many types of inborn errors of BCAA metabolism exist, and are marked by various abnormalities. The most common form is the maple syrup urine disease, marked by a characteristic urinary odor. Other abnormalities are associated with a wide range of symptoms, such as mental retardation, ataxia, hypoglycemia, spinal muscle atrophy, rash, vomiting and excessive muscle movement. Most forms of BCAA metabolism errors are corrected by dietary restriction of BCAA and at least one form is correctable by supplementation with 10 mg of biotin daily. BCAA are decreased in patients with liver disease, such as hepatitis, hepatic coma, cirrhosis, extrahepatic biliary atresia or portacaval shunt; aromatic amino acids (AAA)â€”tyrosine, tryptophan and phenylalanine, as well as methionineâ€”are increased in these conditions. Valine in particular, has been established as a useful supplemental therapy to the ailing liver. All the BCAA probably compete with AAA for absorption into the brain. Supplemental BCAA with vitamin B6 and zinc help normalize the BCAA:AAA ratio (http://www.dcnutrition.com). In sickle-cell disease, valine substitutes for the hydrophilic amino acid glutamic acid in hemoglobin. Because valine is hydrophobic, the hemoglobin does not fold correctly. Hypervalinemia is another example of an inborn error of metabolism involving Valine. Valine is an essential amino acid, hence it must be ingested, usually as a component of proteins.",L-Valine,HMDB0000883,b,b,C00183,VAL,FDB000465,val_L,[H]C([H])([H])C([H])(C([H])([H])[H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],KZSNJWFQEVHDMF-BYPYZUCNSA-N,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",CHEBI:57762,Rhea,L-valine zwitterion,An L-alpha-amino acid zwitterion obtained by transfer of a proton from the carboxy to the amino group of L-valine; major species at pH 7.3.,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1"
1440,val_L,72-18-4,16414.0,"Human Metabolome Database (HMDB): Valine (abbreviated as Val or V) is an -amino acid with the chemical formula HO2CCH(NH2)CH(CH3)2. It is named after the plant valerian. L-Valine is one of 20 proteinogenic amino acids. Its codons are GUU, GUC, GUA, and GUG. This essential amino acid is classified as nonpolar. Along with leucine and isoleucine, valine is a branched-chain amino acid. Branched chain amino acids (BCAA) are essential amino acids whose carbon structure is marked by a branch point. These three amino acids are critical to human life and are particularly involved in stress, energy and muscle metabolism. BCAA supplementation as therapy, both oral and intravenous, in human health and disease holds great promise. ""BCAA"" denotes valine, isoleucine and leucine which are branched chain essential amino acids. Despite their structural similarities, the branched amino acids have different metabolic routes, with valine going solely to carbohydrates, leucine solely to fats and isoleucine to both. The different metabolism accounts for different requirements for these essential amino acids in humans: 12 mg/kg, 14 mg/kg and 16 mg/kg of valine, leucine and isoleucine respectively. Furthermore, these amino acids have different deficiency symptoms. Valine deficiency is marked by neurological defects in the brain, while isoleucine deficiency is marked by muscle tremors. Many types of inborn errors of BCAA metabolism exist, and are marked by various abnormalities. The most common form is the maple syrup urine disease, marked by a characteristic urinary odor. Other abnormalities are associated with a wide range of symptoms, such as mental retardation, ataxia, hypoglycemia, spinal muscle atrophy, rash, vomiting and excessive muscle movement. Most forms of BCAA metabolism errors are corrected by dietary restriction of BCAA and at least one form is correctable by supplementation with 10 mg of biotin daily. BCAA are decreased in patients with liver disease, such as hepatitis, hepatic coma, cirrhosis, extrahepatic biliary atresia or portacaval shunt; aromatic amino acids (AAA)â€”tyrosine, tryptophan and phenylalanine, as well as methionineâ€”are increased in these conditions. Valine in particular, has been established as a useful supplemental therapy to the ailing liver. All the BCAA probably compete with AAA for absorption into the brain. Supplemental BCAA with vitamin B6 and zinc help normalize the BCAA:AAA ratio (http://www.dcnutrition.com). In sickle-cell disease, valine substitutes for the hydrophilic amino acid glutamic acid in hemoglobin. Because valine is hydrophobic, the hemoglobin does not fold correctly. Hypervalinemia is another example of an inborn error of metabolism involving Valine. Valine is an essential amino acid, hence it must be ingested, usually as a component of proteins.",L-Valine,HMDB0000883,b,b,C00183,VAL,FDB000465,val_L,[H]C([H])([H])C([H])(C([H])([H])[H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],KZSNJWFQEVHDMF-BYPYZUCNSA-N,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",CHEBI:16414,ChEBI,L-valine,The L-enantiomer of valine.,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1"
1441,vitd2,50-14-6,28934.0,"Human Metabolome Database (HMDB): Ergocalciferol is a form of Vitamin D, also called vitamin D2. It is created from viosterol, which in turn is created when ultraviolet light activates ergosterol. Ergocalciferol is used in the treatment of hypcalcemia and in dialysis-dependent renal failure. Ergoalcifediol is a fat soluble steroid hormone precursor of vitamin D that contributes to the maintenance of normal levels of calcium and phosphorus in the bloodstream. Vitamin D2 is the form of vitamin D most commonly added to foods and nutritional supplements. Vitamin D2 must be transformed (hydroxylated) into one of two active forms via the liver or kidney. Once transformed, it binds to the vitamin D receptor that then leads to a variety of regulatory roles.",Ergocalciferol,HMDB0000900,b,b,C05441,VITAMIN_D_{2},FDB012811,b,[H]O[C@]1([H])C([H])([H])\C(=C(/[H])\C(\[H])=C2/C([H])([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]3([H])[C@@]([H])(C(\[H])=C(/[H])[C@]([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C(=C([H])[H])C([H])([H])C1([H])[H],MECHNRXZTMCUDQ-RKHKHRCZSA-N,"InChI=1S/C28H44O/c1-19(2)20(3)9-10-22(5)26-15-16-27-23(8-7-17-28(26,27)6)12-13-24-18-25(29)14-11-21(24)4/h9-10,12-13,19-20,22,25-27,29H,4,7-8,11,14-18H2,1-3,5-6H3/b10-9+,23-12+,24-13-/t20-,22+,25-,26+,27-,28+/m0/s1",CHEBI:28934,ChEBI,vitamin D2,A vitamin D supplement and has been isolated from alfalfa.,"InChI=1S/C28H44O/c1-19(2)20(3)9-10-22(5)26-15-16-27-23(8-7-17-28(26,27)6)12-13-24-18-25(29)14-11-21(24)4/h9-10,12-13,19-20,22,25-27,29H,4,7-8,11,14-18H2,1-3,5-6H3/b10-9+,23-12+,24-13-/t20-,22+,25-,26+,27-,28+/m0/s1"
1442,vitd3,67-97-0,283119.0,"Human Metabolome Database (HMDB): Vitamin D3 is a steroid hormone that has long been known for its important role in regulating body levels of calcium and phosphorus, in mineralization of bone, and for the assimilation of Vitamin A. It is structurally similar to steroids such as testosterone, cholesterol, and cortisol (though vitamin D3 itself is a secosteroid).",Vitamin D3,HMDB0000876,b,b,C05443,VITAMIN_D_%7B3%7D,FDB012732,vitd3,[H]O[C@]1([H])C([H])([H])\C(=C(/[H])C([H])=C2C([H])([H])C([H])([H])C([H])([H])[C@@]3(C([H])([H])[H])[C@@]2([H])C([H])([H])C([H])([H])[C@]3([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=C([H])[H])C([H])([H])C1([H])[H],QYSXJUFSXHHAJI-YRZJJWOYSA-N,"InChI=1S/C27H44O/c1-19(2)8-6-9-21(4)25-15-16-26-22(10-7-17-27(25,26)5)12-13-23-18-24(28)14-11-20(23)3/h12-13,19,21,24-26,28H,3,6-11,14-18H2,1-2,4-5H3/b22-12+,23-13-/t21-,24+,25-,26+,27-/m1/s1",CHEBI:28940,ChEBI,calciol,"A hydroxy seco-steroid that is (5Z,7E)-9,10-secocholesta-5,7,10(19)-triene in which the pro-S hydrogen at position 3 has been replaced by a hydroxy group. It is the inactive form of vitamin D3, being hydroxylated in the liver to calcidiol (25-hydroxyvitamin D3), which is then further hydroxylated in the kidney to give calcitriol (1,25-dihydroxyvitamin D3), the active hormone.","InChI=1S/C27H44O/c1-19(2)8-6-9-21(4)25-15-16-26-22(10-7-17-27(25,26)5)12-13-23-18-24(28)14-11-20(23)3/h12-13,19,21,24-26,28H,3,6-11,14-18H2,1-2,4-5H3/b22-12+,23-13-/t21-,24+,25-,26+,27-/m1/s1"
1443,wharachd,79551-86-3,34306.0,"Human Metabolome Database (HMDB): 20-Hydroxyeicosatetraenoic acid (20-HETE) is a metabolite of arachidonic acid. Cytochrome P450 enzymes of the 4A and 4F families catalyze the omega-hydroxylation of arachidonic acid and produce 20-HETE. 20-HETE is a potent constrictor or renal, cerebral and mesenteric arteries. The vasoconstrictor response to 20-HETE is associated with activation of protein kinase, Rho kinase and the mitogen activated protein (MAP) kinase pathway C. 20-HETE also increases intracellular Ca2+ by causing the depolarization of vascular smooth muscle membrane secondary to blocking the large-conductance Ca2+-activated K+-channels and by a direct effect on L-type Ca channels. Elevations in the production of 20-HETE mediate the myogenic response of skeletal, renal and cerebral arteries to elevations in transmural pressure. There is an important interaction between nitric oxide (NO) and the formation of 20-HETE production. NO inhibits the formation of 20-HETE formation in renal and cerebral arteries and that a fall in levels of 20-HETE contributes the cyclic GMP-independent dilator effect of NO to activate the large-conductance Ca2+-activated K+-channels and to dilate the cerebral arteries. (PMID: 16258232).",20-Hydroxyeicosatetraenoic acid,HMDB0005998,b,b,C14748,b,FDB023796,wharachd,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O,NNDIXBJHNLFJJP-DTLRTWKJSA-M,"InChI=1S/C20H32O3/c21-19-17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16-18-20(22)23/h1,3-4,6-7,9-10,12,21H,2,5,8,11,13-19H2,(H,22,23)/p-1/b3-1-,6-4-,9-7-,12-10-",CHEBI:76624,SUBMITTER,20-HETE(1-),"An omega-hydroxy fatty acid anion that is the conjugate base of omega-hydroxyarachdonic acid (20-HETE), obtained by deprotonation of the carboxy group; major species at pH 7.3.","InChI=1S/C20H32O3/c21-19-17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16-18-20(22)23/h1,3-4,6-7,9-10,12,21H,2,5,8,11,13-19H2,(H,22,23)/p-1/b3-1-,6-4-,9-7-,12-10-"
1444,whddca,505-95-3,39567.0,"Human Metabolome Database (HMDB): 12-hydroxydodecanoic acid is the substrate of the human glutathione-dependent formaldehyde dehydrogenase (EC1.1.1.1). The enzyme that catalyzes the conversion of alcohols to aldehydes is a zinc-containing dimeric enzyme responsible for the oxidation of long-chain alcohols and omega-hydroxy fatty acids. (OMIM). The human glutathione-dependent formaldehyde dehydrogenase is unique among the structurally studied members of the alcohol dehydrogenase family in that it follows a random bi kinetic mechanism forming a binary complex, and a ternary complex with NAD+. (PMID 12196016).",12-Hydroxydodecanoic acid,HMDB0002059,b,b,C08317,b,FDB022822,whddca,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O,ZDHCZVWCTKTBRY-UHFFFAOYSA-M,"InChI=1S/C12H24O3/c13-11-9-7-5-3-1-2-4-6-8-10-12(14)15/h13H,1-11H2,(H,14,15)/p-1",CHEBI:36204,ChEBI,12-hydroxylaurate,The conjugate base of 12-hydroxylauric acid.,"InChI=1S/C12H24O3/c13-11-9-7-5-3-1-2-4-6-8-10-12(14)15/h13H,1-11H2,(H,14,15)/p-1"
1445,whhdca,b,55329.0,"Human Metabolome Database (HMDB): 16-Hydroxy hexadecanoic acid (or 16-hydroxypalmitic acid) is a hydroxylated fatty acid where the terminal (omega) carbon has been hydroxylated. In animal tissues, a family of enzymes termed cytochromes P450s are involved in fatty acid oxidation, hydroxylating with high specificity at the energetically unfavorable terminal (omega) or omega-1 carbons. Hydroxy fatty acids primarily come from consumption of plant products (vegetables or fruits) or from cow’s milk. Omega hydroxy fatty acids are found in the structure of suberin, a lipid polyester present in plant cell walls, and of cutin, a lipid polyester which is a component of the plant cuticle. These apoplastic structures are important plant-environment interfaces that act as barriers limiting water and nutrient loss and protecting plants from radiation and pathogens. 16-hydroxypalmitic acid and 18-hydroxy stearic acid are particularly abundant in cutin in the plant cuticle. 16-hydroxypalmitic acid has been proposed as a biomarker of beer consumption.",16-Hydroxy hexadecanoic acid,HMDB0006294,b,b,b,b,FDB023882,whhdca,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O,UGAGPNKCDRTDHP-UHFFFAOYSA-M,"InChI=1S/C16H32O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(18)19/h17H,1-15H2,(H,18,19)/p-1",CHEBI:55329,ChEBI,16-hydroxyhexadecanoate,An omega-hydroxy-long-chain fatty acid anion that is the conjugate base of 16-hydroxyhexadecanoic acid (also known as 16-hydroxypalmitic acid or juniperic acid).,"InChI=1S/C16H32O3/c17-15-13-11-9-7-5-3-1-2-4-6-8-10-12-14-16(18)19/h17H,1-15H2,(H,18,19)/p-1"
1446,whtststerone,b,b,b,W Hydroxytestosterone,HMDB0060089,b,b,b,b,b,whtststerone,[H]OC([H])([H])[C@@]12C(=C([H])C(=O)C([H])([H])C1([H])[H])C([H])([H])C([H])([H])[C@@]1([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(O[H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H],YLTCTXBDDHSLCS-KOUJMVCDSA-N,"InChI=1S/C19H28O3/c1-18-8-7-16-14(15(18)4-5-17(18)22)3-2-12-10-13(21)6-9-19(12,16)11-20/h10,14-17,20,22H,2-9,11H2,1H3/t14-,15-,16-,17-,18-,19+/m0/s1",CHEBI:798,KEGG COMPOUND,19-hydroxytestosterone,A 3-oxo Delta(4)-steroid that is testosterone which is substituted by a hydroxy group at positions 19.,"InChI=1S/C19H28O3/c1-18-8-7-16-14(15(18)4-5-17(18)22)3-2-12-10-13(21)6-9-19(12,16)11-20/h10,14-17,20,22H,2-9,11H2,1H3/t14-,15-,16-,17-,18-,19+/m0/s1"
