	chebi	name	definition	compound_id	type	accession_number
5198	84164	didecanoylphosphatidic acid	A phosphatidic acid in which both of the phosphatidyl acyl groups are specified as decanoyl.	30537	CAS Registry Number	892-20-6
5199	84165	1-stearoyl-2-arachidonoylphosphatidic acid	A phosphatidic acid in which the acyl groups at positions 1 and 2 are specifed as stearoyl and arachidonoyl respectively.	30537	CAS Registry Number	892-20-6
5200	84166	2-methoxy-6-all-trans-polyprenylhydroquinone	A polyprenylhydroquinone in which the polyprenyl substituent is at C-2 with an additional methoxy group present at C-6.	23838	CAS Registry Number	1011-95-6
5201	84167	2-methoxy-3-methyl-6-all-trans-polyprenylhydroquinone	A polyprenylhydroquinone in which the polyprenyl substituent is at C-2 together with additional methyl and methoxy groups present at C3 and C-6 respectively.	23686	CAS Registry Number	1002-53-5
5202	84168	4-hydroxy-6-pentadecylpyran-2-one	A 2-pyranone in which the hydrogens at positions 4 and 6 of 2H-pyran-2-one are replaced by hydroxy and pentadecyl groups respectively.	30538	Gmelin Registry Number	141435
5203	84169	4-hydroxy-6-heptadecylpyran-2-one	A 2-pyranone in which the hydrogens at positions 4 and 6 of 2H-pyran-2-one are replaced by hydroxy and heptadecyl groups respectively.	23686	Beilstein Registry Number	4123669
5204	84170	4-hydroxy-6-nonadecylpyran-2-one	A 2-pyranone in which the hydrogens at positions 4 and 6 of 2H-pyran-2-one are replaced by hydroxy and nonadecyl groups respectively.	30538	CAS Registry Number	2067-76-7
5205	84171	4-hydroxy-6-(2-oxoheptadecyl)pyran-2-one	A 2-pyranone in which the hydrogens at positions 4 and 6 of 2H-pyran-2-one are replaced by hydroxy and 2-oxoheptadecyl groups respectively.	30538	CAS Registry Number	2067-76-7
5206	84172	4-hydroxy-6-(2-oxononadecyl)pyran-2-one	A 2-pyranone in which the hydrogens at positions 4 and 6 of 2H-pyran-2-one are replaced by hydroxy and 2-oxononadecyl groups respectively.	30537	Beilstein Registry Number	3544353
5207	84173	4-hydroxy-6-(2-oxohenicosyl)pyran-2-one	A 2-pyranone in which the hydrogens at positions 4 and 6 of 2H-pyran-2-one are replaced by hydroxy and 2-oxohenicosyl groups respectively.	30537	Gmelin Registry Number	6741
5208	84174	12-HPE(8,10,14)TrE	A hydroperoxy fatty acid that is (8Z,10E,14Z)-icosatrienoic acid in which the hydroperoxy group is located at position 12.	27139	Gmelin Registry Number	336769
5209	84175	2-methylhexadecanoate	A 2-methyl fatty acid anion that is the conjugate base of 2-methylhexadecanoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.	27139	Beilstein Registry Number	3907538
5210	84176	12-methyloctadecanoate	A methyl-branched fatty acid anion that is the conjugate base of 12-methyloctadecanoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.	23686	Gmelin Registry Number	122928
5211	84177	14-HPDHE	A hydroperoxy fatty acid that is (4Z,7Z,10Z,12E,16Z,19Z)-docosahexaenoic acid in which the hydroperoxy group is located at position 14.	30538	Beilstein Registry Number	4122992
5212	84180	10-HPO(6,8,12)TrE	A hydroperoxy fatty acid that is (6Z,8E,12Z)-octadecatrienoic acid in which the hydroperoxy group is located at position 10.	27086	CAS Registry Number	688-73-3
5213	84181	12-methyloctadecanoyl-CoA(4-)	A long-chain fatty acyl-CoA(4-) oxanion arising from deprotonation of the phosphate and diphosphate OH groups of 12-methyloctadecanoyl-CoA; major species at pH 7.3	27086	CAS Registry Number	688-73-3
5214	84182	2-methylhexadecanoyl-CoA(4-)	A long-chain fatty acyl-CoA(4-) oxanion arising from deprotonation of the phosphate and diphosphate OH groups of 2-methylhexadecanoyl-CoA; major species at pH 7.3	27086	Gmelin Registry Number	4258
5215	84183	3-methylundecanoyl-CoA(4-)	A 3-methyl fatty acyl-CoA(4-) oxanion arising from deprotonation of the phosphate and diphosphate OH groups of 3-methylundecanoyl-CoA; major species at pH 7.3	27086	Beilstein Registry Number	3587329
5216	84184	3-methylundecanoate	A 3-methyl fatty acid anion that is the conjugate base of 3-methylundecanoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.	29392	Gmelin Registry Number	239573
5217	84185	D-proline derivative	A non-proteinogenic amino acid derivative resulting from reaction of D-proline at the amino group or the carboxy group, or from the replacement of any hydrogen of D-proline by a heteroatom.	22966	CAS Registry Number	78763-54-9
5218	84186	L-proline derivative	A proteinogenic amino acid derivative resulting from reaction of L-proline at the amino group or the carboxy group, or from the replacement of any hydrogen of L-proline  by a heteroatom.	22966	Beilstein Registry Number	4123112
5219	84187	2-epi-5-epi-valiolone	A member of the class of cyclitols that is valiolone in which the stererocentres at positions 2 and 5 have been inverted.	22966	Gmelin Registry Number	240042
5220	84188	D-threonine derivative	A non-proteinogenic amino acid derivative resulting from reaction of D-threonine  at the amino group or the carboxy group, or from the replacement of any hydrogen of D-threonine  by a heteroatom.	30539	CAS Registry Number	23120-99-2
5221	84189	L-threonine derivative	A proteinogenic amino acid derivative resulting from reaction of L-threonine  at the amino group or the carboxy group, or from the replacement of any hydrogen of L-threonine  by a heteroatom.	30539	CAS Registry Number	23120-99-2
5222	84190	D-galactaro-1,5-lactone	An aldarolactone formed via intramolecular cyclocondensation of galactaric acid.	30539	Beilstein Registry Number	3925118
5223	84191	D-glucaro-1,5-lactone	A glucarolactone formed via intramolecular cyclocondensation of the 5-hydroxy and 1-carboxy groups of D-glucaric acid.	30539	Beilstein Registry Number	4122991
5224	84192	teixobactin	A cyclodepsipeptide that is isolated from the previously unculturable bacterial species Eleftheria terrae and is active against gram-positive bacteria.	30539	Gmelin Registry Number	25416
5225	84193	isomyristate	A methyl-branched fatty acid anion that is the conjugate base of 12-methyltridecanoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.	15694	CAS Registry Number	25138-66-3
5226	84194	hydroxytryptophan	A hydroxy-amino acid that is tryptophan substituted by at least one hydroxy group at unspecified position.	23816	CAS Registry Number	1066-42-8
5227	84195	isomyristoyl-CoA(4-)	A long-chain fatty acyl-CoA(4-) oxanion arising from deprotonation of the phosphate and diphosphate OH groups of 12-methyltridecanoyl-CoA; major species at pH 7.3	23816	Gmelin Registry Number	404726
5228	84196	3-hydroxy fatty acid anion	A hydroxy fatty acid anion obtained by deprotonation of the carboxy group of any 3-hydroxy fatty acid.	23816	Beilstein Registry Number	1731569
5229	84197	3-hydroxytetradecanoate	A 3-hydroxy fatty acid anion that is the conjugate base of 3-hydroxytetradecanoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.	18229	CAS Registry Number	26924-74-3
5230	84198	3-hydroxytetradecanoyl-CoA(4-)	A 3-hydroxy fatty acyl-CoA(4-) oxanion arising from deprotonation of the phosphate and diphosphate OH groups of 3-hydroxytetradecanoyl-CoA; major species at pH 7.3.	30550	Gmelin Registry Number	7607
5231	84202	12-hydroxyoctadecanoyl-CoA(4-)	A long-chain fatty acyl-CoA(4-) arising from deprotonation of the phosphate and diphosphate OH groups of 12-hydroxyoctadecanoyl-CoA; major species at pH 7.3.	30551	CAS Registry Number	33272-98-9
5232	84203	15-hydroxypentadecanoate	An omega-hydroxy-lon-chain fatty acid anion that is the conjugate base of 15-hydroxypentadecanoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.	30552	MolBase accession	907
5233	84204	omega-hydroxy fatty acyl-CoA(4-)	A fatty acyl-CoA(4-) arising from deprotonation of the phosphate and diphosphate OH groups of any omega-hydroxy fatty acyl-CoA; major species at pH 7.3.	30552	Gmelin Registry Number	305156
5234	84205	15-hydroxypentadecanoyl-CoA(4-)	An omega-hydroxy fatty acyl-CoA(4-) arising from deprotonation of the phosphate and diphosphate OH groups of 15-hydroxypentadecanoyl-CoA; major species at pH 7.3.	30555	CAS Registry Number	13765-45-2
5235	84206	5-formyl-2-furoic acid	A member of the class of furoic acids that is 2-furoic acid substituted at position 5 by a formyl group.	30555	Gmelin Registry Number	586
5236	84208	selenocysteine derivative	An amino acid derivative resulting from reaction of selenocysteine at the amino group or the carboxy group, or from the replacement of any hydrogen of selenocysteine by a heteroatom. The definition normally excludes peptides containing selenocysteine residues.	30560	Gmelin Registry Number	265
5237	84209	L-selenocysteine derivative	A proteinogenic amino acid derivative resulting from reaction of L-selenocysteine at the amino group or the carboxy group, or from the replacement of any hydrogen of L-selenocysteine by a heteroatom.	30560	CAS Registry Number	13765-44-1
5238	84210	D-selenocysteine derivative	A non-proteinogenic amino acid derivative resulting from reaction of D-selenocysteine at the amino group or the carboxy group, or from the replacement of any hydrogen of D-selenocysteine by a heteroatom.	30561	Gmelin Registry Number	266
5239	84211	5-(dihydroxymethyl)-2-furoic acid	A member of the class of furoic acids that is 2-furoic acid substituted at position 5 by a dihydroxymethyl group.	30561	CAS Registry Number	15807-96-2
5240	84212	furan-2,5-dicarboxylic acid	A member of the class of furans carrying two carboxy substituents at positions 2 and 5.	30562	CAS Registry Number	41753-67-7
5241	84213	4-(phosphooxymethyl)-2-furancarboxaldehyde	A member of the class of furans that is 2-furfural substituted at position 4 by a phosphooxymethyl group.	30562	Gmelin Registry Number	267
5242	84214	9-decenoyl-CoA(4-)	An unsaturated fatty acyl-CoA(4-) arising from deprotonation of the phosphate and diphosphate OH groups of 9-decenoyl-CoA; major species at pH 7.3.	30563	MolBase accession	887
5243	84215	gamma-glutamyltyramine	An L-glutamine derivative obtained by formal condensation of the side-chain carboxy group of glutamic acid with the amino group of tyramine.	30564	Gmelin Registry Number	504863
5244	84216	(2R,3S)-2-methyl-3-propyloxirane	An  epoxide that is oxirane substituted by a methyl and a propyl group at positions 2 and 3 respectively. Metabolite observed in cancer metabolism.	30565	Gmelin Registry Number	1485461
5245	84217	[5-(aminomethyl)-3-furyl]methyl phosphate	A member of the class of furans that is 2-furylmethylamine substituted at position 4 by a phosphooxymethyl group.	30563	Gmelin Registry Number	200274
5246	84218	(4E)-7-methyldec-4-ene	An alkene that is (4E)-dec-4-ene with a methyl group at position 7. Metabolite observed in cancer metabolism.	30563	CAS Registry Number	7631-86-9
5247	84219	11-nitro-1-undecene	A nitroalkene that is 1-undecene substituted by a nitro group at position 11.  Metabolite observed in cancer metabolism.	30563	CAS Registry Number	7631-86-9
5248	84220	1-docosene	An alkene that is docosane with an unsaturation at position 1. Metabolite observed in cancer metabolism.	1294	CAS Registry Number	596-94-1
5249	84221	1-ethyl-2-propylcyclohexane	A cycloalkane that is cyclohexane substituted by an ethyl and a propyl group at positions 1 and 2 respectively. Metabolite observed in cancer metabolism.	28540	CAS Registry Number	15313-69-6
5250	84222	1-iodo-2-methylundecane	An   iodoalkane that is undecane substituted by an iodo group at position 1 and a methyl group at position 2. Metabolite observed in cancer metabolism.	28047	CAS Registry Number	3862-26-8
5251	84223	4,6,8-trimethyl-1-nonene	An alkene that is 1-nonene substituted by methyl groups at positions 4, 6 and 8 respectively. Metabolite observed in cancer metabolism.	15620	Beilstein Registry Number	1041563
5252	84225	2-(4-methoxyphenyl)propan-2-ol	A tertiary alcohol that is propan-2-ol substituted by a 4-methoxyphenyl group at position 2. Metabolite observed in cancer metabolism.	17724	PDBeChem accession	DMG
5253	84226	(3E)-2,3,4-trimethylhex-3-enal	A  hexenal that is (3E)-hex-3-enal substituted by methyl groups at positions 2, 3 and 6. Metabolite observed in cancer metabolism.	17724	Gmelin Registry Number	82215
5254	84227	2,3,5,8-tetramethyldecane	An alkane that is decane substituted by methyl groups at positions 2, 3, 5 and 8. Metabolite observed in cancer metabolism.	16865	Gmelin Registry Number	49775
5255	84228	2,4,4-trimethylpentane-1,3-diyl bis(2-methylpropanoate)	A  diester obtained by the formal condensation of 2,4,4-trimethylpentane-1,3-diol with two molecules of 2-methylpropanoic acid. Metabolite observed in cancer metabolism.	16865	CAS Registry Number	56-12-2
5256	84229	2,6,10,14-tetramethylheptadecane	A long-chain alkane that is heptadecane substituted by methyl groups at positions 2, 6, 10 and 14. Metabolite observed in cancer metabolism.	16865	CAS Registry Number	56-12-2
5257	84230	2,6,10,15-tetramethylheptadecane	A long-chain alkane that is heptadecane substituted by methyl groups at positions 2, 6, 10 and 15. Metabolite observed in cancer metabolism.	30566	Gmelin Registry Number	559138
5258	84231	(3E)-2,6-dimethyloct-3-ene	An  alkene that is (3E)-oct-3-ene substituted by methyl groups at positions 2 and 6. Metabolite observed in cancer metabolism.	16865	PDBeChem accession	ABU
5259	84232	thienotriazolodiazepine	Any organic heterotricyclic compound constructed from fused thiophene, triazole and diazepeine rings.	50375	KEGG COMPOUND accession	C11904
5260	84233	triethylene glycol monomethyl ether	A hydroxypolyether that is the monomethyl ether derivative of triethylene glycol. Metabolite observed in cancer metabolism.	17621	CAS Registry Number	146-17-8
5261	84235	2-butyl-1-octanol	A primary alcohol that is 1-octanol substituted by a butyl group at position 2. Metabolite observed in cancer metabolism.	17621	Beilstein Registry Number	68086
5262	84236	2-methylbutan-2-amine	A primary aliphatic amine that is butan-2-amine substituted by a methyl group at position 2. Metabolite observed in cancer metabolism.	16238	CAS Registry Number	146-14-5
5263	84237	3,5-dimethyloctane	An alkane that is  octane substituted by methyl groups at positions 3 and 5. Metabolite observed in cancer metabolism.	16238	Beilstein Registry Number	1208946
5264	84238	1,2-dioctanoyl-sn-glycero-3-phospho-(1D-myo-inositol-3,4,5-trisphosphate)	A 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate in which the phosphatidyl acyl groups at positions 1 and 2 are both specified as octanoyl.	17001	Beilstein Registry Number	2291612
5265	84239	3,7,11-trimethyldodecan-1-ol	A fatty alcohol that is 1-dodecanol substituted by methyl groups at positions 3, 7 and 11. Metabolite observed in cancer metabolism.	17001	Beilstein Registry Number	7096689
5266	84240	1,2-dioctanoyl-sn-glycero-3-phospho-(1D-myo-inositol-3,4-bisphosphate)	A 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate in which the phosphatidyl acyl groups at positions 1 and 2 are both specified as octanoyl.	17001	PDBeChem accession	NPR
5267	84241	1,2-dioctanoyl-sn-glycero-3-phospho-(1D-myo-inositol-4,5-bisphosphate)	A 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate in which the phosphatidyl acyl groups at positions 1 and 2 are both specified as octanoyl.	17001	Beilstein Registry Number	8572370
5268	84242	3,7-dimethyl-3-octanol	A fatty alcohol that is 3-octanol substituted by methyl groups at positions 3 and 7. Metabolite observed in cancer metabolism.	17001	CAS Registry Number	1218-98-0
5269	84243	3,8-dimethylundecane	An alkane that is undecane substituted by methyl groups at positions 3 and 8. Metabolite observed in cancer metabolism.	30578	Gmelin Registry Number	255
5270	84244	1,2-dihexadecanoyl-sn-glycero-3-phospho-(1D-myo-inositol-3,4,5-trisphosphate)	A 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate in which the phosphatidyl acyl groups at positions 1 and 2 are both specified as hexadecanoyl (palmitoyl).	30579	Gmelin Registry Number	256
5271	84245	2,4-dimethylpentan-3-amine	A primary aliphatic amine that is pentan-3-amine substituted by methyl groups at positions 2 and 4. Metabolite observed in cancer metabolism.	30579	CAS Registry Number	31241-66-4
5272	84246	4-hydroxy-6-heptylpyran-2-one	A 2-pyranone in which the hydrogens at positions 4 and 6 of 2H-pyran-2-one are replaced by hydroxy and heptyl groups respectively.	30580	CAS Registry Number	13774-94-2
5273	84247	1,2-dihexadecanoyl-sn-glycero-3-phospho-(1D-myo-inositol-3,4-bisphosphate)	A 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate in which the phosphatidyl acyl groups at positions 1 and 2 are both specified as hexadecanoyl (palmitoyl).	30580	Gmelin Registry Number	254
5274	84248	pentan-3-amine	A primary aliphatic amine that is pentane substituted by an amino group at position 3. Metabolite observed in cancer metabolism.	30582	CAS Registry Number	14067-07-3
5275	84249	4,6-dimethyldodecane	An alkane that is  dodecane substituted by methyl groups at positions 4 and 6. Metabolite observed in cancer metabolism.	30585	CAS Registry Number	14337-02-1
5276	84250	4-methylundecane	An alkane that is undecane substituted by a methyl group at position 4. Metabolite observed in cancer metabolism.	16785	CAS Registry Number	1611-31-0
5277	84251	1,2-dihexadecanoyl-sn-glycero-3-phospho-(1D-myo-inositol-4,5-bisphosphate)	A 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate in which the phosphatidyl acyl groups at positions 1 and 2 are both specified as hexadecanoyl (palmitoyl).	30588	Gmelin Registry Number	382
5278	84252	5-methyldec-1-ene	An alkene that is dec-1-ene substituted by a methyl group at position 5. Metabolite observed in cancer metabolism.	30588	CAS Registry Number	10097-28-6
5279	84253	4-hydroxy-5-methyl-6-pentadecylpyran-2-one	A 2-pyranone in which the hydrogens at positions 4, 5 and 6 of 2H-pyran-2-one are replaced by hydroxy, methyl and pentadecyl groups respectively.	30588	CAS Registry Number	10097-28-6
5280	84254	N,N-dimethylacetamide	A member of the class of  acetamides that is  acetamide in which the hydrogens attached to the N atom have been replaced by two methyl groups respectively. Metabolite observed in cancer metabolism.	30589	Gmelin Registry Number	24801
5281	84255	4-hydroxy-5-methyl-6-heptadecylpyran-2-one	A 2-pyranone in which the hydrogens at positions 4, 5 and 6 of 2H-pyran-2-one are replaced by hydroxy, methyl and heptadecyl groups respectively.	30590	Gmelin Registry Number	351
5282	84256	methyl phenylglyoxalate	The methyl ester of  phenylglyoxylic acid with methanol. Metabolite observed in cancer metabolism.	30590	CAS Registry Number	12597-35-2
5283	84257	3,6-anhydro-L-galactonic acid	An anhydrohexose obtained by formation of a ring across the 3 and 6 positions of L-galactonic acid	30591	Gmelin Registry Number	352
5284	84258	D-prolinol	The D-enantiomer of prolinol. Metabolite observed in cancer metabolism.	30593	CAS Registry Number	73151-72-1
5285	84260	ethyl phenylglyoxylate	The ethyl ester of phenylglyoxylic acid. Metabolite observed in cancer metabolism.	30593	Gmelin Registry Number	365
5286	84261	isobutyric acid anhydride	An acyclic carboxylic anhydride of  isobutyric acid. Metabolite observed in cancer metabolism.	30595	Gmelin Registry Number	404321
5287	84262	isopropyl palmitate	A fatty acid ester obtained by the formal condensation of carboxy group of palmitic acid with  propan-2-ol. Metabolite observed in cancer metabolism.	30596	Gmelin Registry Number	81586
5288	84263	1,2-dihexadecanoyl-sn-glycero-3-phospho-(1D-myo-inositol-4-phosphate)	A 1-phosphatidyl-1D-myo-inositol 4-phosphate in which the phosphatidyl acyl groups at positions 1 and 2 are both specified as hexadecanoyl (palmitoyl).	30597	CAS Registry Number	1590-87-0
5289	84264	EC 3.5.1.19 (nicotinamidase) inhibitor	An EC 3.5.1.* (non-peptide linear amide C-N hydrolase) inhibitor that interferes with the action of nicotinamidase (EC 3.5.1.19).	30597	CAS Registry Number	1590-87-0
5290	84265	N(1)-isopropyl-2-methylpropan-1,2-diamine	A primary aliphatic amine that is propan-1,2-diamine substituted by an isopropyl group at N(1) and a methyl group at position 2. Metabolite observed in cancer metabolism.	30597	Gmelin Registry Number	368
5291	84266	1,2-ditetradecanoyl-sn-glycerol-3-phosphate	A 1-acyl-2-tetradecanoyl-sn-glycero-3-phosphate in which the 1-acyl group is specified as tetradecanoyl (myristoyl).	10329	CAS Registry Number	132-13-8
5292	84267	N-methylbutan-2-amine	A secondary aliphatic amine that is sec-butylamine substituted by a methyl group at the N atom. Metabolite observed in cancer metabolism.	30598	CAS Registry Number	106389-61-1
5293	84268	nonanal	A saturated fatty aldehyde formally arising from reduction of the carboxy group of nonanoic acid. Metabolite observed in cancer metabolism.	16837	CAS Registry Number	975-91-7
5294	84269	(2S)-2-methylheptadecanoate	A 2-methyl fatty acid anion that is the conjugate base of (2S)-2-methyl-heptadecanoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.	30598	Gmelin Registry Number	719517
5295	84270	N-propylbenzamide	A member of the class the class of benzamides that is benzamide substituted by a propyl group at the N atom. Metabolite observed in cancer metabolism.	30603	Gmelin Registry Number	558109
5296	84271	allyl octadecyl oxalate	A  diester obtained by the formal condensation of both the carboxy group of oxalic acid with the hydroxy groups of allyl alcohol and  stearyl alcohol respectively. Metabolite observed in cancer metabolism.	30604	Gmelin Registry Number	81658
5297	84272	dodecamethylpentasiloxane	An  organosiloxane that is pentasiloxane in which all the hydrogens have been replaced by methyl groups. Metabolite observed in cancer metabolism.	30604	CAS Registry Number	26693-74-3
5298	84273	(2,3-diphenylcyclopropyl)methyl phenyl sulfoxide	A sulfoxide in which the S atom is substituted by a phenyl and (2,3-diphenylcyclopropyl)methyl group. Metabolite observed in cancer metabolism.	29919	CAS Registry Number	15035-72-0
5299	84274	(E)-dodec-2-enoate	An unsaturated fatty acid anion that is the conjugate base of trans-2-dodecenoic acid obtained by deprotonation of the carboxy group; major species at pH 7.3.	29919	Gmelin Registry Number	24766
5300	84275	trichloro(docosyl)silane	An  organosilicon compound that is docosylsilane in which the hydrogens attached to the Si atom have been replaced by chloro groups. Metabolite observed in cancer metabolism.	16136	Beilstein Registry Number	3535004
5301	84276	methyl phenyl(piperidin-2-yl)acetate	A amino acid ester that is methyl phenylacetate in which one of the hydrogens alpha to the carbonyl group is replaced by a piperidin-2-yl group.	16755	CAS Registry Number	474-25-9
5302	84277	2-methyltridecane	A long-chain alkane that is tridecane substituted by a methyl group at position 2. Metabolite observed in cancer metabolism.	15374	CAS Registry Number	70110-58-6
5303	84278	1,1,3,3-tetramethylurea	A member of the class of ureas that is urea substituted by methyl groups at positions 1, 1, 3 and 3 respectively. Metabolite observed in cancer metabolism.	18357	CAS Registry Number	51-41-2
5304	84279	vinyl benzoate	An  enoate ester obtained by the formal condensation of the carboxy group of benzoic acid with ethenol. Metabolite observed in cancer metabolism.	15380	CAS Registry Number	604-98-8
5305	84280	2,7,10-trimethyldodecane	An alkane that is dodecane substituted by methyl groups at positions 2, 7 and 10.	30609	Gmelin Registry Number	558248
5306	84281	2-isopropyl-5-methyl-1-heptanol	A primary alcohol that is 1-heptanol substituted by an isopropyl group at position 2 and a methyl group at position 5.	30610	Gmelin Registry Number	558420
5307	84282	2-methyl-1,3-thiazolidine-2-carboxamide	A  thiazolidinecarboxamide that is 1,3-thiazolidine-2-carboxamide substituted by a methyl group at position 2.	30611	Gmelin Registry Number	558768
5308	84283	bis(2-methylundecan-2-yl) disulfide	An organic disulfide that results from the formal oxidative dimerisation of 2-methylundecane-2-thiol.	18357	PDBeChem accession	LNR
5309	84284	tetradecan-2-ol	A fatty alcohol that is tetradecane substituted by a hydroxy group at position 2.	15380	PDBeChem accession	SCA
5310	84286	3-methoxy-3-methylhexane	An ether consists of a hexane chain substituted by a methoxy and a methyl group at position 3.	15465	PDBeChem accession	MCA
5311	84288	2-isopropylaminoethylamine	A primary aliphatic amine that is ethane-1,2-diamine substituted by an isopropyl group at the N atom.	16471	Beilstein Registry Number	1905971
5312	84289	tetratetracontane	A long-chain alkane consisting of an unbranched chain of 44 carbon atoms.	2435	Beilstein Registry Number	308868
5313	84290	2-(4-methyl-1-piperazinyl)ethanamine	A N-alkylpiperazine that is piperazine substituted by a methyl and a 2-aminoethyl group at the N atoms respectively.	17304	CAS Registry Number	491-09-8
5314	84291	organic sulfur anion	An organic anion in which the charge resides on a sulfur atom.	17304	Beilstein Registry Number	6717316
5315	84292	dithiocarbamate anions	Any organic sulfur anion resulting from the removal of a proton from any N-substituted dithiocarbamic acid.	17578	CAS Registry Number	108-88-3
5316	84293	dimethyldithiocarbamate	A member of the class of dithiocarbamate anions resulting from the removal of the proton from the dithiocarbamic acid moiety of dimethyldithiocarbamic acid. The major species at pH 7.3.	17578	CAS Registry Number	108-88-3
5317	84294	propylene 1,2-bis(dithiocarbamic acid)	A member of the class or dithiocarbamic acids resulting from the formal addition of a molecule of carbon disulfide to each of the nitrogens of propylenediamine.	17802	Beilstein Registry Number	32779
5318	84295	propylene 1,2-bis(dithiocarbamate)	A member of the class of dithiocarbamate anions resulting from the deprotonation of both of the dithiocarbamic acid moieties of propylene 1,2-bis(dithiocarbamic acid). The major species at pH 7.3.	17802	CAS Registry Number	1445-07-4
5319	84296	2-S-cysteinyl-DOPA	An L-tyrosine derivative that is L-DOPA in which the hydrogen at position 2 on the phenyl ring is replaced by a cysteinyl group. Found in the urine of patients with melanoma.	17376	CAS Registry Number	923-32-0
5320	84297	EC 3.4.21.64 (peptidase K) inhibitor	An EC 3.4.21.* (serine endopeptidase) inhibitor that interferes with the action of peptidase K (EC 3.4.21.64).	18088	Beilstein Registry Number	1288158
5321	84298	2,5-S,S'-dicysteinyldopa	An L-tyrosine derivative that is L-DOPA in which the hydrogens at positions 2 and 5 on the phenyl ring are replaced by cysteinyl groups. Found in the urine of patients with melanoma.	17076	CAS Registry Number	57-92-1
5322	84299	1-myristoyl-sn-glycero-3-phosphoethanolamine zwitterion	A 1-acyl-sn-glycero-3-phosphoethanolamine zwitterion obtained by transfer of a proton from the amino to the phosphate group of 1-myristoyl-sn-glycero-3-phosphoethanolamine; major species at pH 7.3.	17076	Beilstein Registry Number	74498
5323	84300	1-myristoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine zwitterion	A phosphatidylethanolamine 32:1 zwitterion obtained by transfer of a proton from the amino to the phosphate group of 1-myristoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine; major species at pH 7.3.	17076	PDBeChem accession	SRY
5324	84301	7-(2-amino-2-carboxyethyl)-5-hydroxy-2H-1,4-benzothiazine-3-carboxylic acid	A member of the class of benzothiazines that is 2H-1,4-benzothiazine-3-carboxylic acid bearing additional hydroxy and 2-amino-2-carboxyethyl substituents at positions 5 and 7 respectively.	25255	CAS Registry Number	66-27-3
5325	84302	trilinoleoyl 2-monolysocardiolipin	A 2-monolysocardiolipin in which all three phosphatidyl acyl groups are specified as linoleoyl.	16002	Gmelin Registry Number	604332
5326	84303	2-carboxytetracosanoyl-CoA	A 2-carboxyacyl-CoA that results from the formal condensation of the thiol group of coenzyme A with one of the the carboxy groups of 2-carboxytetracosanoic acid.	30612	Beilstein Registry Number	3909239
5327	84304	cholesteryl myristate	A cholesterol ester obtained by the formal condensation of the hydroxy group of cholesterol with the carboxy group of myristic acid.	16002	Beilstein Registry Number	1728113
5328	84305	2-carboxyhexacosanoyl-CoA	A 2-carboxyacyl-CoA that results from the formal condensation of the thiol group of coenzyme A with one of the the carboxy groups of 2-carboxyhexacosanoic acid.	17301	CAS Registry Number	25525-21-7
5329	84306	(13Z,16Z,19Z,22Z)-2-hydroxyoctacosatetraenoate	A hydroxy fatty acid anion that is the conjugate base of (13Z,16Z,19Z,22Z)-2-hydroxyoctacosatetraenoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.	28261	CAS Registry Number	7785-70-8
5330	84307	(12Z,15Z,18Z,21Z,24Z)-2-hydroxytriacontapentaenoate	A hydroxy fatty acid anion that is the conjugate base of (12Z,15Z,18Z,21Z,24Z)-2-hydroxytriacontapentaenoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.	28261	CAS Registry Number	7785-70-8
5331	84308	(14Z,17Z,20Z,23Z,26Z)-2-hydroxydotriacontapentaenoate	A hydroxy fatty acid anion that is the conjugate base of (14Z,17Z,20Z,23Z,26Z)-2-hydroxydotriacontapentaenoic acid, obtained by deprotonation of the carboxy group; major species at pH 7.3.	28660	CAS Registry Number	7785-26-4
5332	84309	rac-1-monooctanoylglycerol	A rac-1-monoacylglycerol comprising equal amounts of 1-octanoyl-sn-glycerol and 3-octanoyl-sn-glycerol.	28660	CAS Registry Number	7785-26-4
5333	84310	anticapsin zwitterion	An L-alpha-amino acid zwitterion obtained by transfer of a proton from the carboxy to the amino group of anticapsin; major species at pH 7.3.	15398	PDBeChem accession	CAH
5334	84311	bacilysin zwitterion	A peptide zwitterion obtained by transfer of a proton from the carboxy to the amino group of bacilysin; major species at pH 7.3.	29865	CAS Registry Number	50-32-8
5335	84312	dodecanoyl-AMP	A fatty acyl-AMP that results from the formal condensation of the phosphoryl group of AMP with the carboxyl group of dodecanoic (lauric) acid.	29865	CAS Registry Number	50-32-8
