abbreviation_metabolite,casregistry_metabolite,cheblid_metabolite,description_metabolite,fullname_metabolite,hmdb_metabolite,inchikey_metabolite,inchistring_metabolite,keggid_metabolite,biocyc_metabolite,food_db_metabolite,reconmap3_metabolite,smile_metabolite,inchiKey_metabolite,inchiString_metabolite
lpchol_hs,,,,1-Acyl-Sn-Glycero-3-Phosphocholine,,,,,,,lpchol_hs,[H]O[C@]([H])(C([H])([H])OC(*)=O)C([H])([H])OP(=O)(O[H])OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,
Lpipecol,3105-95-1,30913,"Human Metabolome Database (HMDB): L-pipecolic acid is a normal human metabolite present in human blood, where is present as the primary enantiomer of pipecolic acid. L-pipecolic acid is a cyclic imino acid (contains both imino (>C=NH) and carboxyl (-C(=O)-OH) functional groups) produced during the degradation of lysine, accumulates in body fluids of infants with generalized genetic peroxisomal disorders, including Zellweger syndrome (OMIM 214100), neonatal adrenoleukodystrophy (OMIM 202370), and infantile Refsum disease (OMIM 266510). L-pipecolic acid levels are also elevated in patients with chronic liver diseases. L-pipecolic acid is the substrate of delta1-piperideine-2-carboxylate reductase (EC 1.5.1.21) in the pathway of lysine degradation (PMID: 2717271, 8305590, 1050990).",L-Pipecolic acid,HMDB0000716,,,C00408,L-PIPECOLATE,FDB000546,Lpipecol,[H]C1([H])C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])C1([H])[H],HXEACLLIILLPRG-YFKPBYRVSA-N,"InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)/t5-/m0/s1"
lpro,,15804,,Lipoylprotein,,,,C02051,,,lpro,[H]N([*])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])SSC([H])([H])C1([H])[H],,
lst4exp,,,,Losartan-E3174/ Losartan-M6,,,,,,,,,,
lstn,114798-26-4,6541,"Human Metabolome Database (HMDB): Losartan is an angiotensin-receptor blocker (ARB) that may be used alone or with other agents to treat hypertension. Losartan and its longer acting metabolite, E-3174, lower blood pressure by antagonizing the renin-angiotensin-aldosterone system (RAAS); they compete with angiotensin II for binding to the type-1 angiotensin II receptor (AT1) subtype and prevents the blood pressure increasing effects of angiotensin II. Unlike angiotensin-converting enzyme (ACE) inhibitors, ARBs do not have the adverse effect of dry cough. Losartan may be used to treat hypertension, isolated systolic hypertension, left ventricular hypertrophy and diabetic nephropathy. It may also be used as an alternative agent for the treatment of systolic dysfunction, myocardial infarction, coronary artery disease, and heart failure.",Losartan,HMDB0014816,,,D08146,,,,,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,
lstn1gluc,,,,Losartan-N1-Glucuronide,,,,,,,,,,
lstnm1,,,,Losartan-M1,,,,,,,,,,
lstnm2,,,,Losartan-M2,,,,,,,,,,
lstnm4,,,,Losartan-M4 (Glucuronide Derivative),,,,,,,,,,
lstnm5,,,,Losartan-M5,,,,,,,,,,
lstnm7,,,,Losartan-N2-Glucuronide / Losartan-M7,,,,,,,,,,
lthstrl,80-99-9,17168,"Human Metabolome Database (HMDB): Lathosterol is a a sterol (a combination steroid and alcohol) and a lipid found in the cell membranes of all body tissues, and transported in the blood plasma of all animals. It is used as an indicator of whole-body cholesterol synthesis (PMID 14511438). Plasma lathosterol levels are significantly elevated in patients with bile acid malabsorption (PMID: 8777839). Lathosterol oxidase (EC 1.14.21.6) is an enzyme that catalyzes the chemical reaction 5alpha-cholest-7-en-3beta-ol + NAD(P)H + H+ + O2 cholesta-5,7-dien-3beta-ol + NAD(P)+ + 2 H2O.",Lathosterol,HMDB0001170,,,C01189,CPD-4186,FDB022463,lthstrl,[H]O[C@@]1([H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])[C@]3([H])C(=C([H])C([H])([H])[C@@]2([H])C1([H])[H])[C@]1([H])C([H])([H])C([H])([H])[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]1(C([H])([H])[H])C([H])([H])C3([H])[H],IZVFFXVYBHFIHY-SKCNUYALSA-N,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h10,18-21,23-25,28H,6-9,11-17H2,1-5H3/t19-,20+,21+,23-,24+,25+,26+,27-/m1/s1"
lum3,,,"Human Metabolome Database (HMDB): Lumisterol 3 is a normal human secosterooid metabolite from the class of vitamin D3 photoisomer derivatives. It is synthesized from 7-Dehydrocholesterol in the epidermis in response to ultraviolet irradiation. When human skin is exposed to ultraviolet radiation, epidermal 7-dehydrocholesterol is converted to previtamin D, and during prolonged exposure, the synthesis of previtamin D3 reaches a plateau at about 10 to 15 percent of the original 7-dehydrocholesterol content, and previtamin D3 is photoisomerized to two biologically inert isomers and lumisterol 3 is one of them (the other one being lumisterol 3). Therefore, lumisterol 3 is a metabolite to chronic exposure to sunlight. Lumisterol 3, as well as other photoisomers of vitamin D3 and previtamin D3 has been demonstrated to have inhibited keratinocyte proliferation. Thus, sunlight provides vitamin D3 photoproducts that may act directly to regulate epidermal proliferation and differentiation under physiologic conditions. (PMID 6256855, 10876100).",Lumisterol 3,HMDB0006505,,,,,FDB023946,,[H]O[C@]1([H])C([H])([H])C2=C([H])C([H])=C3[C@]4([H])C([H])([H])C([H])([H])[C@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]4(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]3([H])[C@]2(C([H])([H])[H])C([H])([H])C1([H])[H],UCTLRSWJYQTBFZ-XMVWLVNMSA-N,"InChI=1S/C27H44O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9-10,18-19,21,23-25,28H,6-8,11-17H2,1-5H3/t19-,21+,23-,24+,25-,26-,27-/m1/s1"
lvst,75330-75-5,40303,"Human Metabolome Database (HMDB): Lovastatin is a cholesterol-lowering agent that belongs to the class of medications called statins. It was the second agent of this class discovered. It was discovered by Alfred Alberts and his team at Merck in 1978 after screening only 18 compounds over 2 weeks. The agent, also known as mevinolin, was isolated from the fungi <i>Aspergillus terreus</i>. Research on this compound was suddenly shut down in 1980 and the drug was not approved until 1987. Interesting, Akira Endo at Sankyo Co. (Japan) patented lovastatin isolated from <i>Monascus ruber</i> four months before Merck. Lovastatin was found to be 2 times more potent than its predecessor, mevastatin, the first discovered statin. Like mevastatin, lovastatin is structurally similar to hydroxymethylglutarate (HMG), a substituent of HMG-Coenzyme A (HMG-CoA), a substrate of the cholesterol biosynthesis pathway via the mevalonic acid pathway. Lovastatin is a competitive inhibitor of HMG-CoA reductase with a binding affinity 20,000 times greater than HMG-CoA. Lovastatin differs structurally from mevastatin by a single methyl group at the 6 position. Lovastatin is a prodrug that is activated by <i>in vivo</i> hydrolysis of the lactone ring. It, along with mevastatin, has served as one of the lead compounds for the development of the synthetic compounds used today.",Lovastatin (Lactone Form),HMDB0014372,,,D00359,,,,,,
lvstacid,,,,Lovastatin-Hydroxy (Acid Form),,,,,,,,,,
lxser,,,,Gal-Xyl-L-Ser (Protein),,,,G00155,,,lxser,,,
lys_L,56-87-1,18019,"Human Metabolome Database (HMDB): L-lysine is an essential amino acid. Normal requirements for lysine have been found to be about 8 g per day or 12 mg/kg in adults. Children and infants need more, 44 mg/kg per day for an eleven to-twelve-year old, and 97 mg/kg per day for three-to six-month old. Lysine is highly concentrated in muscle compared to most other amino acids. Lysine is high in foods such as wheat germ, cottage cheese and chicken. Of meat products, wild game and pork have the highest concentration of lysine. Fruits and vegetables contain little lysine, except avocados. Normal lysine metabolism is dependent upon many nutrients including niacin, vitamin B6, riboflavin, vitamin C, glutamic acid and iron. Excess arginine antagonizes lysine. Several inborn errors of lysine metabolism are known, such as cystinuria, hyperdibasic aminoaciduria I, lysinuric protein intolerance, propionic acidemia, and tyrosinemia I. Most are marked by mental retardation with occasional diverse symptoms such as absence of secondary sex characteristics, undescended testes, abnormal facial structure, anemia, obesity, enlarged liver and spleen, and eye muscle imbalance. Lysine also may be a useful adjunct in the treatment of osteoporosis. Although high protein diets result in loss of large amounts of calcium in urine, so does lysine deficiency. Lysine may be an adjunct therapy because it reduces calcium losses in urine. Lysine deficiency also may result in immunodeficiency. Requirements for this amino acid are probably increased by stress. Lysine toxicity has not occurred with oral doses in humans. Lysine dosages are presently too small and may fail to reach the concentrations necessary to prove potential therapeutic applications. Lysine metabolites, amino caproic acid and carnitine have already shown their therapeutic potential. Thirty grams daily of amino caproic acid has been used as an initial daily dose in treating blood clotting disorders, indicating that the proper doses of lysine, its precursor, have yet to be used in medicine. Low lysine levels have been found in patients with Parkinson's, hypothyroidism, kidney disease, asthma and depression. The exact significance of these levels is unclear, yet lysine therapy can normalize the level and has been associated with improvement of some patients with these conditions. Abnormally elevated hydroxylysines have been found in virtually all chronic degenerative diseases and coumadin therapy. The levels of this stress marker may be improved by high doses of vitamin C. Lysine is particularly useful in therapy for marasmus (wasting) and herpes simplex. It stops the growth of herpes simplex in culture, and has helped to reduce the number and occurrence of cold sores in clinical studies. Dosing has not been adequately studied, but beneficial clinical effects occur in doses ranging from 100 mg to 4 g a day. Higher doses may also be useful, and toxicity has not been reported in doses as high as 8 g per day. Diets high in lysine and low in arginine can be useful in the prevention and treatment of herpes. Some researchers think herpes simplex virus is involved in many other diseases related to cranial nerves such as migraines, Bell's palsy and Meniere's disease. Herpes blister fluid will produce fatal encephalitis in the rabbit (http://www.dcnutrition.com).",L-Lysine,HMDB0000182,,,C00047,LYS,FDB000474,lys_L,[H][N+]([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)[N+]([H])([H])[H],KDXKERNSBIXSRK-YFKPBYRVSA-O,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/p+1/t5-/m0/s1"
lysargleu,,,,Lysyl-Arginyl-Leucine,,,,,,,,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],YNNPKXBBRZVIRX-IHRRRGAJSA-M,"InChI=1S/C18H37N7O4/c1-11(2)10-14(17(28)29)25-16(27)13(7-5-9-23-18(21)22)24-15(26)12(20)6-3-4-8-19/h11-14H,3-10,19-20H2,1-2H3,(H,24,26)(H,25,27)(H,28,29)(H4,21,22,23)/p-1/t12-,13-,14-/m0/s1"
lyscyshis,,,,Lysyl-Cysteinyl-Histidine,,,,,,,,[H]OC(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])S[H])C([H])([H])C1=C([H])N([H])C([H])=N1,QQYRCUXKLDGCQN-SDDRHHMPSA-O,"InChI=1S/C15H26N6O4S/c16-4-2-1-3-10(17)13(22)21-12(7-26)14(23)20-11(15(24)25)5-9-6-18-8-19-9/h6,8,10-12,26H,1-5,7,16-17H2,(H,18,19)(H,20,23)(H,21,22)(H,24,25)/p+1/t10-,11-,12+/m0/s1"
lysglnphe,,,,Lysyl-Glutaminyl-Phenylalanine,,,,,,,,[H]OC(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],PGBPWPTUOSCNLE-XHSDSOJGSA-O,"InChI=1S/C20H31N5O5/c21-11-5-4-8-14(22)18(27)24-15(9-10-17(23)26)19(28)25-16(20(29)30)12-13-6-2-1-3-7-13/h1-3,6-7,14-16H,4-5,8-12,21-22H2,(H2,23,26)(H,24,27)(H,25,28)(H,29,30)/p+1/t14-,15+,16-/m0/s1"
lysgluglu,,,,Lysyl-Glutamyl-Glutamate,,,,,,,,[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C(=O)N([H])[C@]([H])(C(=O)OC(=O)C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C(=O)OC(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O,SKVPAQVHAQGTIJ-VMXHOPILSA-L,"InChI=1S/C27H47N7O12/c28-13-3-1-5-15(30)23(40)33-18(8-10-20(35)36)26(43)45-22(39)12-7-17(32)25(42)46-27(44)19(9-11-21(37)38)34-24(41)16(31)6-2-4-14-29/h15-19H,1-14,28-32H2,(H,33,40)(H,34,41)(H,35,36)(H,37,38)/p-2/t15-,16-,17-,18-,19-/m0/s1"
lyslyslys,,,,Lysyl-Lysyl-Lysine,,,,,,,,[H]OC(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H],WBSCNDJQPKSPII-ZNMIVQPWSA-Q,"InChI=1S/C18H38N6O4/c19-10-4-1-7-13(22)16(25)23-14(8-2-5-11-20)17(26)24-15(18(27)28)9-3-6-12-21/h13-15H,1-12,19-22H2,(H,23,25)(H,24,26)(H,27,28)/p+3/t13-,14+,15-/m0/s1"
lyspheile,,,,Lysyl-Phenylalanyl-Isoleucine,,,,,,,,[H]OC(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],LMGNWHDWJDIOPK-ONQFOCNCSA-O,"InChI=1S/C21H34N4O4/c1-3-14(2)18(21(28)29)25-20(27)17(13-15-9-5-4-6-10-15)24-19(26)16(23)11-7-8-12-22/h4-6,9-10,14,16-18H,3,7-8,11-13,22-23H2,1-2H3,(H,24,26)(H,25,27)(H,28,29)/p+1/t14?,16-,17+,18-/m0/s1"
lystrparg,,,,Lysyl-Tryptophanyl-Arginine,,,,,,,,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H])C([O-])=O,RYOLKFYZBHMYFW-WDSOQIARSA-M,"InChI=1S/C23H36N8O4/c24-10-4-3-7-16(25)20(32)31-19(12-14-13-29-17-8-2-1-6-15(14)17)21(33)30-18(22(34)35)9-5-11-28-23(26)27/h1-2,6,8,13,16,18-19,29H,3-5,7,9-12,24-25H2,(H,30,33)(H,31,32)(H,34,35)(H4,26,27,28)/p-1/t16-,18-,19-/m0/s1"
lystyrile,,,,Lysyl-Tyrosyl-Isoleucine,,,,,,,,[H]OC(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C1=C([H])C([H])=C(O[H])C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],IMDJSVBFQKDDEQ-ZKVVCRCRSA-O,"InChI=1S/C21H34N4O5/c1-3-13(2)18(21(29)30)25-20(28)17(12-14-7-9-15(26)10-8-14)24-19(27)16(23)6-4-5-11-22/h7-10,13,16-18,26H,3-6,11-12,22-23H2,1-2H3,(H,24,27)(H,25,28)(H,29,30)/p+1/t13?,16-,17+,18-/m0/s1"
lysvalphe,,,,Lysyl-Valyl-Phenylalanine,,,,,,,,[H]N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C([O-])=O)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H],TXTZMVNJIRZABH-ULQDDVLXSA-M,"InChI=1S/C20H32N4O4/c1-13(2)17(24-18(25)15(22)10-6-7-11-21)19(26)23-16(20(27)28)12-14-8-4-3-5-9-14/h3-5,8-9,13,15-17H,6-7,10-12,21-22H2,1-2H3,(H,23,26)(H,24,25)(H,27,28)/p-1/t15-,16-,17-/m0/s1"
lysvaltrp,,,,Lysyl-Valyl-Tryptophan,,,,,,,,[H]OC(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)[C@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1=C([H])N([H])C2=C1C([H])=C([H])C([H])=C2[H],XBAJINCXDBTJRH-YTQUADARSA-O,"InChI=1S/C22H33N5O4/c1-13(2)19(27-20(28)16(24)8-5-6-10-23)21(29)26-18(22(30)31)11-14-12-25-17-9-4-3-7-15(14)17/h3-4,7,9,12-13,16,18-19,25H,5-6,8,10-11,23-24H2,1-2H3,(H,26,29)(H,27,28)(H,30,31)/p+1/t16-,18-,19+/m0/s1"
lyx_L,,,,L-lyxose,,,,,,,,,IAJILQKETJEXLJ-RSJOWCBRSA-N,
lyxnt,,,,L-Lyxonate,,,,C05412,,,,[H]OC([H])([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]([H])(O[H])C([O-])=O,QXKAIJAYHKCRRA-PZGQECOJSA-M,"InChI=1S/C5H10O6/c6-1-2(7)3(8)4(9)5(10)11/h2-4,6-9H,1H2,(H,10,11)/p-1/t2-,3+,4+/m0/s1"
m_em_3gacpail,,,,Mannosyl-3-(Phosphoethanolaminyl-Mannosyl)-Glucosaminyl-Acylphosphatidylinositol (M4A),,,,,,,,,,
m_em_3gacpail_hs,,,,Mannosyl-3-(Phosphoethanolaminyl-Mannosyl)-Glucosaminyl-Acylphosphatidylinositol (M4A)),,,,,,,,,,
m_em_3gacpail_prot_hs,,,,Mannosyl-3-(Phosphoethanolaminyl-Mannosyl)-Glucosaminyl-Acylphosphatidylinositol-Protein (M4A),,,,,,,,,,
M00003,,75094,"Human Metabolome Database (HMDB): 10Z-Heptadecenoic acid is a monounsaturated fatty acid with an unsaturated double bond at the 10th carbon. Heptadecanoic acid, or margaric acid, is a saturated fatty acid. Its molecular formula is CH3(CH2)15COOH. It occurs as a trace component of the fat and milkfat of ruminants, but it does not occur in any natural animal or vegetable fat at concentrations over half a percent. Salts and esters of heptadecanoic acid are called heptadecanoates.",10Z-Heptadecenoic acid,HMDB0060038,,,,CPD-15680,,M00003,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],GDTXICBNEOEPAZ-FPLPWBNLSA-N,"InChI=1S/C17H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h7-8H,2-6,9-16H2,1H3,(H,18,19)/b8-7-"
M00004,,,,10Z-Heptadecenoyl Coenzyme A,,,,,,,M00004,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,KFMWWNZRDBMYES-VUSGIKGZSA-J,"InChI=1S/C38H66N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-29(47)66-22-21-40-28(46)19-20-41-36(50)33(49)38(2,3)24-59-65(56,57)62-64(54,55)58-23-27-32(61-63(51,52)53)31(48)37(60-27)45-26-44-30-34(39)42-25-43-35(30)45/h9-10,25-27,31-33,37,48-49H,4-8,11-24H2,1-3H3,(H,40,46)(H,41,50)(H,54,55)(H,56,57)(H2,39,42,43)(H2,51,52,53)/p-4/b10-9-/t27-,31-,32-,33+,37-/m0/s1"
M00005,,,,"(5Z,8Z,12E,14Z)-(11R)-Hydroperoxyeicosa-5,8,12,14-Tetraenoic Acid (11(R)-HPETE)",,,,,,,,[H]OO[C@@]([H])(C(\[H])=C(/[H])\C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H],PCGWZQXAGFGRTQ-WXMXURGXSA-N,"InChI=1S/C20H32O4/c1-2-3-4-5-7-10-13-16-19(24-23)17-14-11-8-6-9-12-15-18-20(21)22/h6-7,9-11,13-14,16,19,23H,2-5,8,12,15,17-18H2,1H3,(H,21,22)/b9-6-,10-7-,14-11-,16-13+/t19-/m0/s1"
M00006,,,,11Z-Docosenoyl Coenzyme A,,,,,,,M00006,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP([O-])(=O)OP([O-])(=O)OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])[C@]([H])(O[H])[C@]1([H])OP([O-])([O-])=O,NHZRWTQFSQTCJG-LTZYZTNRSA-J,"InChI=1S/C43H76N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-34(52)71-27-26-45-33(51)24-25-46-41(55)38(54)43(2,3)29-64-70(61,62)67-69(59,60)63-28-32-37(66-68(56,57)58)36(53)42(65-32)50-31-49-35-39(44)47-30-48-40(35)50/h13-14,30-32,36-38,42,53-54H,4-12,15-29H2,1-3H3,(H,45,51)(H,46,55)(H,59,60)(H,61,62)(H2,44,47,48)(H2,56,57,58)/p-4/b14-13-/t32-,36-,37-,38+,42-/m0/s1"
M00008,2091-39-6,603631,"Human Metabolome Database (HMDB): Eicosadienoic acid is an omega 6 fatty acid found in human milk (PMID: 15256803). Omega-6 fatty acids) are a family of unsaturated fatty acids which have in common a carbon-carbon double bond in the n&#8722;6 position; that is, the sixth bond from the end of the fatty acid. The biological effects of the omega&#8722;6 fatty acids are largely mediated by their conversion to n-6 eicosanoids that bind to diverse receptors found in every tissue of the body.",Eicosadienoic acid,HMDB0005060,,,C16525,,FDB012619,M00008,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(/[H])C([H])([H])C(\[H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],XSXIVVZCUAHUJO-AVQMFFATSA-N,"InChI=1S/C20H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10H,2-5,8,11-19H2,1H3,(H,21,22)/b7-6+,10-9+"
M00010,,53460,"Human Metabolome Database (HMDB): 11,14,17-Eicosatrienoic acid, or Eicosatrienoic Acid (20:3w-3), is a rare polyunsaturated fatty acid of the omega-3 series. In normal humans, it represents less than 0.25% of serum phospholipid fatty acids. However, it is one of the most active essential fatty acids when assayed for the inhibition of fatty acid elongation/desaturation reactions which convert dietary C-18 fatty acids to C-20 eicosanoid precursors. (http://www.caymanchem.com)","11,14,17-Eicosatrienoic acid",HMDB0060039,,,C16522,,,M00010,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])[H],AHANXAKGNAKFSK-PDBXOOCHSA-N,"InChI=1S/C20H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10H,2,5,8,11-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-"
M00011,,,,"11Z,14Z,17Z-Eicosatrienoylcarnitine",,,,,,,M00011,[H]\C(=C(/[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])[H],SRNPFTYGRLBDNK-QNEBEIHSSA-N,"InChI=1S/C27H47NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-27(31)32-25(23-26(29)30)24-28(2,3)4/h6-7,9-10,12-13,25H,5,8,11,14-24H2,1-4H3/b7-6-,10-9-,13-12-"
M00012,,,,"11Z,14Z,17Z-Eicosatrienoyl Coenzyme A",,,,C16179,,,M00012,[H]O[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])SC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])[C@@]1([H])O[C@@]([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])[C@]([H])(O[H])[C@]1([H])OP(=O)(O[H])O[H],BVBYYRVLCDMZNJ-BNQHWWLJSA-N,"InChI=1S/C41H68N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-32(50)69-25-24-43-31(49)22-23-44-39(53)36(52)41(2,3)27-62-68(59,60)65-67(57,58)61-26-30-35(64-66(54,55)56)34(51)40(63-30)48-29-47-33-37(42)45-28-46-38(33)48/h5-6,8-9,11-12,28-30,34-36,40,51-52H,4,7,10,13-27H2,1-3H3,(H,43,49)(H,44,53)(H,57,58)(H,59,60)(H2,42,45,46)(H2,54,55,56)/b6-5-,9-8-,12-11-/t30-,34-,35-,36+,40?/m0/s1"
