name_of_disease,abbreviation_of_disease,type_of_disease,notes_of_disease,phenotype,organ_affected,cheblid_of_biomarker,description_of_biomarker,fullname_of_biomarker,abbreviation_of_biomarker,inchikey_of_biomarker,inchistring_of_biomarker,keggid_of_biomarker,casregistry_of_biomarker,value_of_biomarker,normal_conc_of_biomarker,ramedis_of_biomarker,range_conc_of_biomarker,biocyc_biomarker,smile_biomarker,hmdb_biomarker,reconMap3_biomarker,food_db_biomarker,pubChemId_biomarker
Glutaric Acidemia Type II,GA2,Inherited metabolic disorder,"In blood-increased C4, C10, C12, C14, and C16. In urine-high levels of 2-hydroxyglutaric acid (L), 2-methylbutyrylglycine, 3-hydroxyisovaleric acid, 4-hydroxybutyric acid, 5-hydroxyhexanoic acid, acylcarnitine, adipic acid, ethylmalonic acid, glutaric acid, hydroxyproline, isobutyrylglycine, isovalerylglycine, proline, sebacic acid, and suberic acid .","1) Neonatal form and 2) late onset form. Genital abnormalities may be seen. The disorders resulting from defects in these 3 genes are referred to as glutaric acidemia IIA, IIB, and IIC, respectively, although there appears to be no difference in the clinical phenotypes.","Liver,  heart,  kidney,  muscle",,,Palmitoleoyl-Carnitine,hdcecrn,JFAGPSOZZSTLRF-KUFMOJEASA-N,"InChI=1S/C23H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h10-11,21H,5-9,12-20H2,1-4H3/b11-10-/t21-/m1/s1",,,Increased,0.04 - 0.37,,0.23 - 2.10,,[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,hdcecrn,,11953816
Trifunctional Protein Deficiency,TFPD,Inherited metabolic disorder,"In urine-increased levels of 3-hydroxydicarboxylic acid, 3-hydroxysuberic acid, dicarboxylic acids. Decreased activity of the enzyme in fibroblast.",Clinically distinguished into 2 forms- 1) infancy and 2) early childhood forms. (http://ghr.nlm.nih.gov/condition/long-chain-3-hydroxyacyl-coenzyme-a-dehydrogenase-deficiency),"Muscle, liver, eye, nervous system",,,Palmitoleoyl-Carnitine,hdcecrn,JFAGPSOZZSTLRF-KUFMOJEASA-N,"InChI=1S/C23H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h10-11,21H,5-9,12-20H2,1-4H3/b11-10-/t21-/m1/s1",,,Increased,0.04 - 0.37,328,0.22 - 1.50,,[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,hdcecrn,,11953816
Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase Deficiency (LCHAD),LCHAD,Inherited metabolic disorder,"In plasma-decreased activity of 3-hydroxybutyric acid, increased long chain acyl carnitines. In urine-3-hydroxyadipic acid, 3-hydroxysebacic acid, 3-hydroxysuberic acid, dicarboxylic acids.","Three clinical phenotypes were apparent: 1) severe neonatal presentation with cardiomyopathy, 2) hepatic form with recurrent hypoketotic hypoglycemia, 3) milder, later-onset neuromyopathic phenotype with episodic myoglobinuria.","Heart,  muscle,  respiratory system",,,Palmitoleoyl-Carnitine,hdcecrn,JFAGPSOZZSTLRF-KUFMOJEASA-N,"InChI=1S/C23H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h10-11,21H,5-9,12-20H2,1-4H3/b11-10-/t21-/m1/s1",,,Increased,0.04 - 0.37,327,0.22 - 1.50,,[H]\C(=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,hdcecrn,,11953816
Carnitine Palmitoyltransferase 1 Deficiency,CPT1,Inherited metabolic disorder,"Free carnitine/total carnitine is elevated, palmitoylcarnitine/free carnitine, C0/(C16+C18)","Hepatic encephalopathy, adult-onset myopathy, acute fatty liver of pregnancy. Kidney (Renal tubular acidosis), both proximal and distal.","Liver, nervous system, muscle, skeletal system",17490,"Human Metabolome Database (HMDB): L-palmitoylcarnitine is a long-chain acyl fatty acid derivative ester of carnitine which facilitates the transfer of long-chain fatty acids from cytoplasm into mitochondria during the oxidation of fatty acids. L-palmitoylcarnitine, due to its amphipatic character is, like detergents, a surface-active molecule and by changing the membrane fluidity and surface charge can change activity of several enzymes and transporters localized in the membrane. L-palmitoylcarnitine has been also reported to change the activity of certain proteins. On the contrary to carnitine, palmitoylcarnitine was shown to stimulate the activity of caspases 3, 7 and 8 and the level of this long-chain acylcarnitine increased during apoptosis. Palmitoylcarnitine was also reported to diminish completely binding of phorbol esters, the protein kinase C activators and to decrease the autophosphorylation of the enzyme. Apart from these isoform nonspecific phenomena, palmitoylcarnitine was also shown to be responsible for retardation in cytoplasm of protein kinase C isoforms &#946; and &#948; and, in the case of the latter one, to decrease its interaction with GAP-43. Some of the physico-chemical properties of palmitoylcarnitine may help to explain the need for coenzyme A-carnitine-coenzyme A acyl exchange during mitochondrial fatty acid import. The amphiphilic character of palmitoylcarnitine may also explain its proposed involvement in the pathogenesis of myocardial ischemia. L-palmitoylcarnitine accumulates in ischemic myocardium and potentially contribute to myocardial damage through alterations in membrane molecular dynamics, one mechanism through which could play an important role in ischemic injury. Palmitoylcarnitine is characteristically elevated in carnitine palmitoyltransferase II deficiency, late-onset (OMIM 255110 PMID 2540838, 15363641, 8706815). Moreover, L-palmitoylcarnitine is found to be associated with celiac disease, which is an inborn error of metabolism.",L-Palmitoylcarnitine,pmtcrn,XOMRRQXKHMYMOC-OAQYLSRUSA-N,"InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3/t21-/m1/s1",C02990,2364-67-2,Increased,0.80 - 5.70,,0.20 - 1.50,CPD-419,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000222,pmtcrn,FDB021910,11953816
Carnitine Acylcarnitine Translocase Deficiency,CACT,Inherited metabolic disorder,Elevated C-16 and C-18:1,"Neonatal onset and milder form with some residual CACT activity. Morris et al. (1998) reported steatosis of renal tubules in a Pakistani family. Huizing et al. (1998) found high level of CACT mRNA transcripts in in heart, skeletal muscle, and liver, and much lower levels in brain, placenta, kidney, pancreas, and especially in lung.","Liver, muscle, heart",17490,"Human Metabolome Database (HMDB): L-palmitoylcarnitine is a long-chain acyl fatty acid derivative ester of carnitine which facilitates the transfer of long-chain fatty acids from cytoplasm into mitochondria during the oxidation of fatty acids. L-palmitoylcarnitine, due to its amphipatic character is, like detergents, a surface-active molecule and by changing the membrane fluidity and surface charge can change activity of several enzymes and transporters localized in the membrane. L-palmitoylcarnitine has been also reported to change the activity of certain proteins. On the contrary to carnitine, palmitoylcarnitine was shown to stimulate the activity of caspases 3, 7 and 8 and the level of this long-chain acylcarnitine increased during apoptosis. Palmitoylcarnitine was also reported to diminish completely binding of phorbol esters, the protein kinase C activators and to decrease the autophosphorylation of the enzyme. Apart from these isoform nonspecific phenomena, palmitoylcarnitine was also shown to be responsible for retardation in cytoplasm of protein kinase C isoforms &#946; and &#948; and, in the case of the latter one, to decrease its interaction with GAP-43. Some of the physico-chemical properties of palmitoylcarnitine may help to explain the need for coenzyme A-carnitine-coenzyme A acyl exchange during mitochondrial fatty acid import. The amphiphilic character of palmitoylcarnitine may also explain its proposed involvement in the pathogenesis of myocardial ischemia. L-palmitoylcarnitine accumulates in ischemic myocardium and potentially contribute to myocardial damage through alterations in membrane molecular dynamics, one mechanism through which could play an important role in ischemic injury. Palmitoylcarnitine is characteristically elevated in carnitine palmitoyltransferase II deficiency, late-onset (OMIM 255110 PMID 2540838, 15363641, 8706815). Moreover, L-palmitoylcarnitine is found to be associated with celiac disease, which is an inborn error of metabolism.",L-Palmitoylcarnitine,pmtcrn,XOMRRQXKHMYMOC-OAQYLSRUSA-N,"InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3/t21-/m1/s1",C02990,2364-67-2,Increased,0.80 - 5.70,,7.20 - 32.00,CPD-419,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000222,pmtcrn,FDB021910,11953816
Carnitine Palmitoyltransferase 2 Deficiency,CPT2,Inherited metabolic disorder,Elevated C-16 and C-18:1 along with urinary examination.,"Lethal neonatal form, Severe infantile hepatocardiomuscular form, myopathic form. In infantile form-reduced enzyme activity in fibroblasts, lymphoblasts, and skeletal muscle-OMIM:600649, in lethal neonatal form- Postmortem examination showed diffuse lipid accumulation in the liver, heart, kidney, adrenal cortex, skeletal muscle, and lungs-OMIM:608836","Liver, heart, muscle, nervous system, kidney",17490,"Human Metabolome Database (HMDB): L-palmitoylcarnitine is a long-chain acyl fatty acid derivative ester of carnitine which facilitates the transfer of long-chain fatty acids from cytoplasm into mitochondria during the oxidation of fatty acids. L-palmitoylcarnitine, due to its amphipatic character is, like detergents, a surface-active molecule and by changing the membrane fluidity and surface charge can change activity of several enzymes and transporters localized in the membrane. L-palmitoylcarnitine has been also reported to change the activity of certain proteins. On the contrary to carnitine, palmitoylcarnitine was shown to stimulate the activity of caspases 3, 7 and 8 and the level of this long-chain acylcarnitine increased during apoptosis. Palmitoylcarnitine was also reported to diminish completely binding of phorbol esters, the protein kinase C activators and to decrease the autophosphorylation of the enzyme. Apart from these isoform nonspecific phenomena, palmitoylcarnitine was also shown to be responsible for retardation in cytoplasm of protein kinase C isoforms &#946; and &#948; and, in the case of the latter one, to decrease its interaction with GAP-43. Some of the physico-chemical properties of palmitoylcarnitine may help to explain the need for coenzyme A-carnitine-coenzyme A acyl exchange during mitochondrial fatty acid import. The amphiphilic character of palmitoylcarnitine may also explain its proposed involvement in the pathogenesis of myocardial ischemia. L-palmitoylcarnitine accumulates in ischemic myocardium and potentially contribute to myocardial damage through alterations in membrane molecular dynamics, one mechanism through which could play an important role in ischemic injury. Palmitoylcarnitine is characteristically elevated in carnitine palmitoyltransferase II deficiency, late-onset (OMIM 255110 PMID 2540838, 15363641, 8706815). Moreover, L-palmitoylcarnitine is found to be associated with celiac disease, which is an inborn error of metabolism.",L-Palmitoylcarnitine,pmtcrn,XOMRRQXKHMYMOC-OAQYLSRUSA-N,"InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3/t21-/m1/s1",C02990,2364-67-2,Increased,0.80 - 5.70,,7.20 - 32.00,CPD-419,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000222,pmtcrn,FDB021910,11953816
Systemic Carnitine Deficiency,SCD,Inherited metabolic disorder,"Decreased free and total carnitine, increased urinary dicarboxylic fatty acids","Systemic carnitine deficiency, muscle carnitine deficiency. High-affinity carnitine transporter expressed in muscle, heart, kidney, lymphoblasts, and fibroblasts. The defect is expressed as impaired fatty acid oxidation in skeletal and heart muscle. Stanley et al. (1991) -defect appeared to be expressed also in muscle and kidney.-OMIM:212140. Myopathic carnitine deficiency (OMIM:212160) is restricted to skeletal muscle","Nervous system, heart, muscle, liver",17490,"Human Metabolome Database (HMDB): L-palmitoylcarnitine is a long-chain acyl fatty acid derivative ester of carnitine which facilitates the transfer of long-chain fatty acids from cytoplasm into mitochondria during the oxidation of fatty acids. L-palmitoylcarnitine, due to its amphipatic character is, like detergents, a surface-active molecule and by changing the membrane fluidity and surface charge can change activity of several enzymes and transporters localized in the membrane. L-palmitoylcarnitine has been also reported to change the activity of certain proteins. On the contrary to carnitine, palmitoylcarnitine was shown to stimulate the activity of caspases 3, 7 and 8 and the level of this long-chain acylcarnitine increased during apoptosis. Palmitoylcarnitine was also reported to diminish completely binding of phorbol esters, the protein kinase C activators and to decrease the autophosphorylation of the enzyme. Apart from these isoform nonspecific phenomena, palmitoylcarnitine was also shown to be responsible for retardation in cytoplasm of protein kinase C isoforms &#946; and &#948; and, in the case of the latter one, to decrease its interaction with GAP-43. Some of the physico-chemical properties of palmitoylcarnitine may help to explain the need for coenzyme A-carnitine-coenzyme A acyl exchange during mitochondrial fatty acid import. The amphiphilic character of palmitoylcarnitine may also explain its proposed involvement in the pathogenesis of myocardial ischemia. L-palmitoylcarnitine accumulates in ischemic myocardium and potentially contribute to myocardial damage through alterations in membrane molecular dynamics, one mechanism through which could play an important role in ischemic injury. Palmitoylcarnitine is characteristically elevated in carnitine palmitoyltransferase II deficiency, late-onset (OMIM 255110 PMID 2540838, 15363641, 8706815). Moreover, L-palmitoylcarnitine is found to be associated with celiac disease, which is an inborn error of metabolism.",L-Palmitoylcarnitine,pmtcrn,XOMRRQXKHMYMOC-OAQYLSRUSA-N,"InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3/t21-/m1/s1",C02990,2364-67-2,Decreased,0.80 - 5.70,,0.37 - 1.5,CPD-419,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[C@]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],HMDB0000222,pmtcrn,FDB021910,11953816
Propionic Acidemia,PA,Inherited metabolic disorder,"Increased C3 in blood, in plasma increased amounts of propionic acid, glycine, glutamine, and total carnitine. In urine-increased OH-propionic and valeric acid etc.","Neutropenia, periodic thrombocytopenia, hypogammaglobulinemia. Increased propionic acid affects brain.","Nervous system,  muscle,  heart",,,3-Hydroxyhexadecenoylcarnitine,3hdececrn,WAGYLURELCUJPG-SPIWFDJVSA-N,"InChI=1S/C23H43NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-20(25)19-23(28)29-21(24(2,3)4)17-18-22(26)27/h10-11,20-21,25H,5-9,12-19H2,1-4H3/b11-10+/t20?,21-/m0/s1",,,Increased,0.01 - 0.11,,0.035 - 0.45,,[H]OC([H])(C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([H])([H])C([O-])=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,3hdececrn,,
Trifunctional Protein Deficiency,TFPD,Inherited metabolic disorder,"In urine-increased levels of 3-hydroxydicarboxylic acid, 3-hydroxysuberic acid, dicarboxylic acids. Decreased activity of the enzyme in fibroblast.",Clinically distinguished into 2 forms- 1) infancy and 2) early childhood forms. (http://ghr.nlm.nih.gov/condition/long-chain-3-hydroxyacyl-coenzyme-a-dehydrogenase-deficiency),"Muscle, liver, eye, nervous system",,,3-Hydroxyhexadecenoylcarnitine,3hdececrn,WAGYLURELCUJPG-SPIWFDJVSA-N,"InChI=1S/C23H43NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-20(25)19-23(28)29-21(24(2,3)4)17-18-22(26)27/h10-11,20-21,25H,5-9,12-19H2,1-4H3/b11-10+/t20?,21-/m0/s1",,,Increased,0.01 - 0.11,,0.09 - 0.50,,[H]OC([H])(C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([H])([H])C([O-])=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,3hdececrn,,
Methylmalonic Acidemia,MMA,Inherited metabolic disorder,"In blood-increased C4DC, C3. In plasma-decreased carnitine, increased methylmalonic acid. In urine-aminoisobutyric acid, hydroxypropionic acid, and hydroxyvaleric acid etc. MUT, MMAA and MMAB-either of these 3 genes defect causes MMA, however about 50% shows mutation in MUT gene. MMAB gene is absent in Recon.","1) Infantile/non-B12 responsive, 2) B12 responsive,""Benign"" /adult methylmalonic acidemia. Patients with defects in the synthesis of AdoCbl are usually responsive to vitamin B12 therapy and are classified as 'cbl' type: these include cblB and cblA (OMIM:251100). The cblA type is caused by mutation in the MMAA gene (OMIM:607481). The 'mut' type (OMIM:251000) is caused by mutation in the MUT gene; in general, the mut form of MMA is unresponsive to vitamin B12 therapy. Combined methylmalonic aciduria and homocystinuria may be seen in complementation groups cblC (OMIM:277400), cblD (OMIM:277410), and cblF (OMIM:277380).","Nervous system,  kidney,  pancreas",,,3-Hydroxyhexadecenoylcarnitine,3hdececrn,WAGYLURELCUJPG-SPIWFDJVSA-N,"InChI=1S/C23H43NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-20(25)19-23(28)29-21(24(2,3)4)17-18-22(26)27/h10-11,20-21,25H,5-9,12-19H2,1-4H3/b11-10+/t20?,21-/m0/s1",,,Increased,0.01 - 0.11,,0.04 - 0.35,,[H]OC([H])(C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([H])([H])C([O-])=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,3hdececrn,,
Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase Deficiency (LCHAD),LCHAD,Inherited metabolic disorder,"In plasma-decreased activity of 3-hydroxybutyric acid, increased long chain acyl carnitines. In urine-3-hydroxyadipic acid, 3-hydroxysebacic acid, 3-hydroxysuberic acid, dicarboxylic acids.","Three clinical phenotypes were apparent: 1) severe neonatal presentation with cardiomyopathy, 2) hepatic form with recurrent hypoketotic hypoglycemia, 3) milder, later-onset neuromyopathic phenotype with episodic myoglobinuria.","Heart,  muscle,  respiratory system",,,3-Hydroxyhexadecenoylcarnitine,3hdececrn,WAGYLURELCUJPG-SPIWFDJVSA-N,"InChI=1S/C23H43NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-20(25)19-23(28)29-21(24(2,3)4)17-18-22(26)27/h10-11,20-21,25H,5-9,12-19H2,1-4H3/b11-10+/t20?,21-/m0/s1",,,Increased,0.01 - 0.11,"327, 328",0.09 - 0.50,,[H]OC([H])(C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([H])([H])C([O-])=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,3hdececrn,,
Trifunctional Protein Deficiency,TFPD,Inherited metabolic disorder,"In urine-increased levels of 3-hydroxydicarboxylic acid, 3-hydroxysuberic acid, dicarboxylic acids. Decreased activity of the enzyme in fibroblast.",Clinically distinguished into 2 forms- 1) infancy and 2) early childhood forms. (http://ghr.nlm.nih.gov/condition/long-chain-3-hydroxyacyl-coenzyme-a-dehydrogenase-deficiency),"Muscle, liver, eye, nervous system",,"Human Metabolome Database (HMDB): 3-hydroxyhexadecanoylcarnitine, also known as beta-Hydroxypalmitoylcarnitine, is classified as a beta hydroxy acid or a Beta hydroxy acid derivative. Beta hydroxy acids are compounds containing a carboxylic acid substituted with a hydroxyl group on the C3 carbon atom. 3-hydroxyhexadecanoylcarnitine is considered to be a practically insoluble (in water) and a weak acidic compound. 3-hydroxyhexadecanoylcarnitine can be found in blood and urine.",3-Hydroxyhexadecanoylcarnitine,3hexdcrn,MHJOYNGEDDXLLU-LBAQZLPGSA-N,"InChI=1S/C23H45NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-20(25)19-23(28)29-21(24(2,3)4)17-18-22(26)27/h20-21,25H,5-19H2,1-4H3/t20?,21-/m0/s1",,,Increased,0.006 - 0.06,,0.265 - 2.10,,[H]OC([H])(C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([H])([H])C([O-])=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],HMDB0013336,3hexdcrn,FDB021866,53481691
Long-Chain-3-Hydroxyacyl-Coa Dehydrogenase Deficiency (LCHAD),LCHAD,Inherited metabolic disorder,"In plasma-decreased activity of 3-hydroxybutyric acid, increased long chain acyl carnitines. In urine-3-hydroxyadipic acid, 3-hydroxysebacic acid, 3-hydroxysuberic acid, dicarboxylic acids.","Three clinical phenotypes were apparent: 1) severe neonatal presentation with cardiomyopathy, 2) hepatic form with recurrent hypoketotic hypoglycemia, 3) milder, later-onset neuromyopathic phenotype with episodic myoglobinuria.","Heart,  muscle,  respiratory system",,"Human Metabolome Database (HMDB): 3-hydroxyhexadecanoylcarnitine, also known as beta-Hydroxypalmitoylcarnitine, is classified as a beta hydroxy acid or a Beta hydroxy acid derivative. Beta hydroxy acids are compounds containing a carboxylic acid substituted with a hydroxyl group on the C3 carbon atom. 3-hydroxyhexadecanoylcarnitine is considered to be a practically insoluble (in water) and a weak acidic compound. 3-hydroxyhexadecanoylcarnitine can be found in blood and urine.",3-Hydroxyhexadecanoylcarnitine,3hexdcrn,MHJOYNGEDDXLLU-LBAQZLPGSA-N,"InChI=1S/C23H45NO5/c1-5-6-7-8-9-10-11-12-13-14-15-16-20(25)19-23(28)29-21(24(2,3)4)17-18-22(26)27/h20-21,25H,5-19H2,1-4H3/t20?,21-/m0/s1",,,Increased,0.006 - 0.06,"550, 869",0.265 - 2.10,,[H]OC([H])(C([H])([H])C(=O)O[C@@]([H])(C([H])([H])C([H])([H])C([O-])=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],HMDB0013336,3hexdcrn,FDB021866,53481691
Carnitine Acylcarnitine Translocase Deficiency,CACT,Inherited metabolic disorder,Elevated C-16 and C-18:1,"Neonatal onset and milder form with some residual CACT activity. Morris et al. (1998) reported steatosis of renal tubules in a Pakistani family. Huizing et al. (1998) found high level of CACT mRNA transcripts in in heart, skeletal muscle, and liver, and much lower levels in brain, placenta, kidney, pancreas, and especially in lung.","Liver, muscle, heart",,,"6Z,9Z-Octadecadienoylcarnitine",lneldccrn,MJLXQSQYKZWZCB-OKLKQMLOSA-N,"InChI=1S/C25H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h9-10,12-13,23H,5-8,11,14-22H2,1-4H3/b10-9+,13-12+",,,Increased,0.06 - 0.56,,0.18 - 3.00,,[H]\C(=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,lneldccrn,,53477834
Carnitine Palmitoyltransferase 1 Deficiency,CPT1,Inherited metabolic disorder,"Free carnitine/total carnitine is elevated, palmitoylcarnitine/free carnitine, C0/(C16+C18)","Hepatic encephalopathy, adult-onset myopathy, acute fatty liver of pregnancy. Kidney (Renal tubular acidosis), both proximal and distal.","Liver, nervous system, muscle, skeletal system",,,"6Z,9Z-Octadecadienoylcarnitine",lneldccrn,MJLXQSQYKZWZCB-OKLKQMLOSA-N,"InChI=1S/C25H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h9-10,12-13,23H,5-8,11,14-22H2,1-4H3/b10-9+,13-12+",,,Decreased,0.06 - 0.56,,0.01 - 0.18,,[H]\C(=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,lneldccrn,,53477834
Carnitine Palmitoyltransferase 2 Deficiency,CPT2,Inherited metabolic disorder,Elevated C-16 and C-18:1 along with urinary examination.,"Lethal neonatal form, Severe infantile hepatocardiomuscular form, myopathic form. In infantile form-reduced enzyme activity in fibroblasts, lymphoblasts, and skeletal muscle-OMIM:600649, in lethal neonatal form- Postmortem examination showed diffuse lipid accumulation in the liver, heart, kidney, adrenal cortex, skeletal muscle, and lungs-OMIM:608836","Liver, heart, muscle, nervous system, kidney",,,"6Z,9Z-Octadecadienoylcarnitine",lneldccrn,MJLXQSQYKZWZCB-OKLKQMLOSA-N,"InChI=1S/C25H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h9-10,12-13,23H,5-8,11,14-22H2,1-4H3/b10-9+,13-12+",,,Increased,0.06 - 0.56,,0.18 - 3.00,,[H]\C(=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C(\[H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,lneldccrn,,53477834
